代號,名稱,按盤價,成交金額,市值,市盈率,股息率
173,嘉華國際,2.330,3430000.0,7340000000.0,,1.29
174,盛洋投資,0.2110,,134100000.0,,
175,吉利汽車,22.700,1280000000.0,244990000000.0,12.10,2.20
177,江蘇寧滬高速公路,10.640,33520000.000000004,13000000000.0,10.41,5.16
178,莎莎國際,0.920,3060000.0,2850000000.0,37.10,3.10
179,德昌電機控股,28.000,968610000.0,26160000000.0,12.58,2.18
180,開達集團,0.2010,,191060000.0,,
181,閩港控股,0.1180,4720.0,135170000.0,,
182,協合新能源,0.390,26580000.0,3070000000.0,19.60,0.77
183,宏輝集團,0.1620,11150.0,91830000.0,,
184,激成投資,2.3800,,809670000.0,3.14,5.04
185,正商實業,0.0990,,189420000.0,,
186,敏捷控股,0.154,4620.0,845800000.0,770.00,
187,京城機電股份,4.110,10600000.0,411000000.0,,
188,新華匯富金融,0.236,2370.0,180440000.0,,8.47
189,東岳集團,12.880,137770000.0,22310000000.0,11.71,2.33
191,麗新國際,0.7700,5390.0,680190000.0,,
193,冠中地產,0.217,34580.0,50600000.0,,
194,廖創興企業,4.720,56340.0,1780000000.0,148.43,5.93
196,宏華集團,0.191,308560.0,1720000000.0,39.79,
197,亨泰,0.280,2920.0,58570000.0,,
199,德祥地產,0.9500,147970.0,968520000.0,,
200,新濠國際發展,4.160,20340000.0,9460000000.0,8.39,
201,華大酒店,0.0690,8390.0,617340000.0,76.67,
202,潤中國際控股,0.082,35290.0,598130000.0,,
204,資本界金控,0.221,141350.0,55040000.0,,
205,BFB HEALTH,0.770,1090000.0,963430000.0,,
206,華商能源,0.420,1160000.0,1360000000.0,107.69,
209,瀛晟科學,0.390,621240.0,579410000.0,,
210,達芙妮國際,0.410,34850.0,811220000.0,6.18,4.88
211,STYLAND HOLD,0.255,10200.0,186920000.0,,
212,NANYANG HOLD,30.000,44930.0,1010000000.0,,4.33
213,NATIONAL ELEC H,0.3950,,360500000.0,3.85,1.27
214,匯漢控股,0.2490,5470.0,209370000.0,,
215,和記電訊香港,1.210,7190000.0,5830000000.0,,6.19
216,建業實業,0.6200,,341840000.0,,
217,中國誠通發展集團,0.163,35610.0,972230000.0,20.38,1.53
218,申萬宏源香港,1.1500,981600.0,1790000000.0,14.84,
219,順豪物業,0.690,15120.0,400020000.0,,
220,統一企業中國,7.410,69220000.0,32000000000.0,13.95,7.17
