,no,indno
559,00650.HK,0011
560,00689.HK,0011
561,00852.HK,0011
562,00857.HK,0011
563,00883.HK,0011
564,00931.HK,0011
565,01096.HK,0011
566,01101.HK,0011
567,01142.HK,0011
568,01192.HK,0011
569,01205.HK,0011
570,01555.HK,0011
571,01621.HK,0011
572,01940.HK,0011
573,02012.HK,0011
574,02386.HK,0011
575,02686.HK,0011
576,02728.HK,0011
577,03395.HK,0011
578,00731.HK,0535
579,00794.HK,0535
580,00923.HK,0535
581,01812.HK,0535
582,02002.HK,0535
583,02314.HK,0535
584,02320.HK,0535
585,02372.HK,0535
586,02689.HK,0535
587,00060.HK,2043
588,00142.HK,2043
589,00197.HK,2043
590,00322.HK,2043
591,00374.HK,2043
592,00829.HK,2043
593,00834.HK,2043
594,01152.HK,2043
595,01175.HK,2043
596,01210.HK,2043
597,01262.HK,2043
598,01285.HK,2043
599,01458.HK,2043
600,01475.HK,2043
601,01583.HK,2043
602,01676.HK,2043
603,01705.HK,2043
604,01767.HK,2043
605,01837.HK,2043
606,01927.HK,2043
607,03799.HK,2043
608,06836.HK,2043
609,08362.HK,2043
610,08413.HK,2043
611,08476.HK,2043
612,08491.HK,2043
613,00032.HK,3052
614,00079.HK,3052
615,00145.HK,3052
616,00309.HK,3052
617,00382.HK,3052
618,00667.HK,3052
619,00752.HK,3052
620,00839.HK,3052
621,01082.HK,3052
622,01317.HK,3052
623,01328.HK,3052
624,01360.HK,3052
625,01397.HK,3052
626,01449.HK,3052
627,01463.HK,3052
628,01525.HK,3052
629,01565.HK,3052
630,01569.HK,3052
631,01586.HK,3052
632,01593.HK,3052
633,01598.HK,3052
634,01650.HK,3052
635,01752.HK,3052
636,01756.HK,3052
637,01758.HK,3052
638,01765.HK,3052
639,01769.HK,3052
640,01773.HK,3052
641,01775.HK,3052
642,01797.HK,3052
643,00758.HK,0511
644,01380.HK,0511
645,02212.HK,0511
646,02302.HK,0511
647,02326.HK,0511
648,02940.HK,0511
649,03313.HK,0511
650,06128.HK,0511
651,06680.HK,0511
652,08022.HK,0511
653,08028.HK,0511
654,08331.HK,0511
655,00033.HK,5032
656,00086.HK,5032
657,00217.HK,5032
658,00260.HK,5032
659,00318.HK,5032
660,00335.HK,5032
661,00373.HK,5032
662,00379.HK,5032
663,00388.HK,5032
664,00397.HK,5032
665,00412.HK,5032
666,00431.HK,5032
667,00530.HK,5032
668,00559.HK,5032
669,00605.HK,5032
670,00628.HK,5032
671,00629.HK,5032
672,00668.HK,5032
673,00730.HK,5032
674,00736.HK,5032
675,00764.HK,5032
676,00766.HK,5032
677,00767.HK,5032
678,00863.HK,5032
679,00900.HK,5032
680,00993.HK,5032
681,00997.HK,5032
682,01225.HK,5032
683,01260.HK,5032
684,01273.HK,5032
685,00098.HK,0522
686,00166.HK,0522
687,00195.HK,0522
688,00358.HK,0522
689,00433.HK,0522
690,00486.HK,0522
691,00505.HK,0522
692,00521.HK,0522
693,00601.HK,0522
694,00637.HK,0522
695,00661.HK,0522
696,00769.HK,0522
697,00976.HK,0522
698,01091.HK,0522
699,01164.HK,0522
700,01208.HK,0522
701,01258.HK,0522
702,01333.HK,0522
703,01378.HK,0522
704,01636.HK,0522
705,01772.HK,0522
706,01891.HK,0522
707,02078.HK,0522
708,02133.HK,0522
709,02336.HK,0522
710,02362.HK,0522
711,02600.HK,0522
712,03833.HK,0522
713,03939.HK,0522
714,03993.HK,0522
715,00326.HK,3032
716,00391.HK,3032
717,00419.HK,3032
718,00491.HK,3032
719,00547.HK,3032
720,00571.HK,3032
721,00800.HK,3032
722,00953.HK,3032
723,01003.HK,3032
724,01046.HK,3032
725,01060.HK,3032
726,01132.HK,3032
727,01159.HK,3032
728,01326.HK,3032
729,01616.HK,3032
730,01740.HK,3032
731,01859.HK,3032
732,01896.HK,3032
733,01970.HK,3032
734,01981.HK,3032
735,02125.HK,3032
736,02230.HK,3032
737,02309.HK,3032
738,03636.HK,3032
739,08075.HK,3032
740,08078.HK,3032
741,08082.HK,3032
742,08172.HK,3032
743,08175.HK,3032
744,08220.HK,3032
745,00239.HK,2052
746,00241.HK,2052
747,00401.HK,2052
748,00455.HK,2052
749,00460.HK,2052
750,00503.HK,2052
751,00512.HK,2052
752,00570.HK,2052
753,00574.HK,2052
754,00575.HK,2052
755,00719.HK,2052
756,00775.HK,2052
757,00858.HK,2052
758,00867.HK,2052
759,00874.HK,2052
760,00897.HK,2052
761,00950.HK,2052
762,01011.HK,2052
763,01061.HK,2052
764,01093.HK,2052
765,01099.HK,2052
766,01110.HK,2052
767,01177.HK,2052
768,01345.HK,2052
769,01498.HK,2052
770,01513.HK,2052
771,01530.HK,2052
772,01558.HK,2052
773,01643.HK,2052
774,01652.HK,2052
775,00286.HK,2053
776,00383.HK,2053
777,00557.HK,2053
778,00648.HK,2053
779,00673.HK,2053
780,00708.HK,2053
781,00718.HK,2053
782,00722.HK,2053
783,00853.HK,2053
784,00876.HK,2053
785,00928.HK,2053
786,01066.HK,2053
787,01298.HK,2053
788,01302.HK,2053
789,01358.HK,2053
790,01406.HK,2053
791,01419.HK,2053
792,01501.HK,2053
793,01515.HK,2053
794,01518.HK,2053
795,01526.HK,2053
796,01612.HK,2053
797,01696.HK,2053
798,01789.HK,2053
799,01830.HK,2053
800,01833.HK,2053
801,01846.HK,2053
802,01858.HK,2053
803,01931.HK,2053
804,01951.HK,2053
805,00137.HK,3045
806,00144.HK,3045
807,00316.HK,3045
808,00351.HK,3045
809,00517.HK,3045
810,00560.HK,3045
811,00598.HK,3045
812,00935.HK,3045
813,01138.HK,3045
814,01145.HK,3045
815,01199.HK,3045
816,01308.HK,3045
817,01549.HK,3045
818,01719.HK,3045
819,01732.HK,3045
820,01748.HK,3045
821,01919.HK,3045
822,02343.HK,3045
823,02682.HK,3045
824,02866.HK,3045
825,02880.HK,3045
826,03369.HK,3045
827,03378.HK,3045
828,03382.HK,3045
829,03683.HK,3045
830,06117.HK,3045
831,06119.HK,3045
832,06198.HK,3045
833,08020.HK,3045
834,08502.HK,3045
835,00038.HK,1001
836,00057.HK,1001
837,00118.HK,1001
838,00365.HK,1001
839,00387.HK,1001
840,00474.HK,1001
841,00558.HK,1001
842,00564.HK,1001
843,00631.HK,1001
844,00936.HK,1001
845,01157.HK,1001
846,01289.HK,1001
847,01301.HK,1001
848,01341.HK,1001
849,01496.HK,1001
850,01536.HK,1001
851,01645.HK,1001
852,01651.HK,1001
853,01660.HK,1001
854,01673.HK,1001
855,01786.HK,1001
856,01882.HK,1001
857,02039.HK,1001
858,02102.HK,1001
859,02153.HK,1001
860,02155.HK,1001
861,03339.HK,1001
862,03348.HK,1001
863,03628.HK,1001
864,03899.HK,1001
865,00361.HK,3026
866,01566.HK,3026
867,01661.HK,3026
868,01803.HK,3026
869,02255.HK,3026
870,06858.HK,3026
871,08052.HK,3026
872,08406.HK,3026
873,08432.HK,3026
874,09638.HK,3026
875,00143.HK,7011
876,00259.HK,7011
877,00334.HK,7011
878,00479.HK,7011
879,00529.HK,7011
880,00553.HK,7011
881,00698.HK,7011
882,00710.HK,7011
883,00948.HK,7011
884,00992.HK,7011
885,01050.HK,7011
886,01079.HK,7011
887,01263.HK,7011
888,01305.HK,7011
889,01478.HK,7011
890,01523.HK,7011
891,02028.HK,7011
892,02086.HK,7011
893,02308.HK,7011
894,02363.HK,7011
895,03336.HK,7011
896,03396.HK,7011
897,03638.HK,7011
898,03991.HK,7011
899,06088.HK,7011
900,06133.HK,7011
901,06939.HK,7011
902,08051.HK,7011
903,08159.HK,7011
904,08245.HK,7011
905,00053.HK,5031
906,00068.HK,5031
907,00080.HK,5031
908,00129.HK,5031
909,00133.HK,5031
910,00165.HK,5031
911,00174.HK,5031
912,00204.HK,5031
913,00214.HK,5031
914,00235.HK,5031
915,00310.HK,5031
916,00329.HK,5031
917,00339.HK,5031
918,00356.HK,5031
919,00372.HK,5031
920,00378.HK,5031
921,00428.HK,5031
922,00572.HK,5031
923,00612.HK,5031
924,00613.HK,5031
925,00697.HK,5031
926,00721.HK,5031
927,00768.HK,5031
928,00770.HK,5031
929,00806.HK,5031
930,00810.HK,5031
931,00851.HK,5031
932,00901.HK,5031
933,00905.HK,5031
