代號,名稱,按盤價,成交金額,市值,市盈率,股息率
0157,自然美生物科技有限公司,N/A,0,0,N/A,N/A
0158,萬邦投資有限公司,N/A,0,0,N/A,N/A
0159,布萊克萬礦業有限公司,N/A,0,0,N/A,N/A
0160,漢國置業有限公司,N/A,0,0,N/A,N/A
0162,世紀金花商業控股有限公司,N/A,0,0,N/A,N/A
0163,英皇集團(國際)有限公司,N/A,0,0,N/A,N/A
0164,中國寶力科技控股有限公司,N/A,0,0,N/A,N/A
0165,中國光大控股有限公司,N/A,0,0,N/A,N/A
0166,新時代集團控股有限公司,N/A,0,0,N/A,N/A
0167,萬威國際有限公司,N/A,0,0,N/A,N/A
0168,青島啤酒股份有限公司,N/A,0,0,N/A,N/A
0169,萬達酒店發展有限公司 ,N/A,0,0,N/A,N/A
0171,銀建國際控股集團有限公司,N/A,0,0,N/A,N/A
0173,嘉華國際集團有限公司,N/A,0,0,N/A,N/A
0174,盛洋投資(控股)有限公司,N/A,0,0,N/A,N/A
0175,吉利汽車控股有限公司,N/A,0,0,N/A,N/A
0176,先機企業集團有限公司,N/A,0,0,N/A,N/A
0177,江蘇寧滬高速公路股份有限公司,N/A,0,0,N/A,N/A
0178,莎莎國際控股有限公司,N/A,0,0,N/A,N/A
0179,德昌電機控股有限公司,N/A,0,0,N/A,N/A
0180,開達集團有限公司 ,N/A,0,0,N/A,N/A
0181,閩港控股有限公司,N/A,0,0,N/A,N/A
0182,協合新能源集團有限公司,N/A,0,0,N/A,N/A
0183,宏輝集團控股有限公司,N/A,0,0,N/A,N/A
0184,激成投資(香港)有限公司,N/A,0,0,N/A,N/A
0185,正商實業有限公司,N/A,0,0,N/A,N/A
0186,敏捷控股有限公司,N/A,0,0,N/A,N/A
0187,北京京城機電股份有限公司,N/A,0,0,N/A,N/A
0188,新華滙富金融控股有限公司,N/A,0,0,N/A,N/A
0189,東岳集團有限公司,N/A,0,0,N/A,N/A
0191,麗新製衣國際有限公司,N/A,0,0,N/A,N/A
0193,冠中地產有限公司,N/A,0,0,N/A,N/A
0194,廖創興企業有限公司,N/A,0,0,N/A,N/A
0195,綠科科技國際有限公司,N/A,0,0,N/A,N/A
0196,宏華集團有限公司,N/A,0,0,N/A,N/A
0197,亨泰消費品集團有限公司,N/A,0,0,N/A,N/A
0199,德祥地產集團有限公司,N/A,0,0,N/A,N/A
0200,新濠國際發展有限公司,N/A,0,0,N/A,N/A
0201,華大酒店投資有限公司,N/A,0,0,N/A,N/A
0202,潤中國際控股有限公司,N/A,0,0,N/A,N/A
0204,資本界金控集團有限公司,N/A,0,0,N/A,N/A
0205,BFB Health Limited,N/A,0,0,N/A,N/A
0206,华商能源科技股份有限公司,N/A,0,0,N/A,N/A
0209,瀛晟科學有限公司,N/A,0,0,N/A,N/A
0210,達芙妮國際控股有限公司,N/A,0,0,N/A,N/A
0211,大凌集團有限公司,N/A,0,0,N/A,N/A
0212,南洋集團有限公司,N/A,0,0,N/A,N/A
0213,樂聲電子有限公司 ,N/A,0,0,N/A,N/A
0214,匯漢控股有限公司,N/A,0,0,N/A,N/A
0215,和記電訊香港控股有限公司,N/A,0,0,N/A,N/A
0216,建業實業有限公司,N/A,0,0,N/A,N/A
0217,中國誠通發展集團有限公司,N/A,0,0,N/A,N/A
0218,申萬宏源(香港)有限公司,N/A,0,0,N/A,N/A
0219,順豪物業投資有限公司,N/A,0,0,N/A,N/A
0220,統一企業中國控股有限公司,N/A,0,0,N/A,N/A
0222,閩信集團有限公司,N/A,0,0,N/A,N/A
0223,易生活控股有限公司,N/A,0,0,N/A,N/A
0224,建生國際集團有限公司,N/A,0,0,N/A,N/A
0225,博富臨置業有限公司,N/A,0,0,N/A,N/A
0227,第一上海投資有限公司,N/A,0,0,N/A,N/A
0228,中國能源開發控股有限公司,N/A,0,0,N/A,N/A
0229,利民實業有限公司,N/A,0,0,N/A,N/A
0230,五礦地產有限公司,N/A,0,0,N/A,N/A
0232,大陸航空科技控股有限公司,N/A,0,0,N/A,N/A
0234,新世紀集團香港有限公司,N/A,0,0,N/A,N/A
0235,中策資本控股有限公司,N/A,0,0,N/A,N/A
0236,香港生力啤酒廠有限公司,N/A,0,0,N/A,N/A
0237,安全貨倉有限公司,N/A,0,0,N/A,N/A
0239,白花油國際有限公司,N/A,0,0,N/A,N/A
0240,利基控股有限公司,N/A,0,0,N/A,N/A
0241,阿里健康信息技術有限公司,N/A,0,0,N/A,N/A
0242,信德集團有限公司,N/A,0,0,N/A,N/A
0243,品質國際集團有限公司,N/A,0,0,N/A,N/A
0244,先施有限公司,N/A,0,0,N/A,N/A
0245,中薇金融控股有限公司,N/A,0,0,N/A,N/A
0247,尖沙咀置業集團有限公司,N/A,0,0,N/A,N/A
