Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,T1_150,BOSS_STATUS,buy_price,tp1_price,tp2_price,SNO
2025-10-15,1157.HK,7.28000020980835,7.730000019073486,7.260000228881836,7.670000076293945,7.670000076293945,20917463,0.0,0.0,7.30298646831944,7.117991265130765,6.816605750863646,6.451936660996989,5.803255029979359,True,True,HH,HHHLHH,7.139999866485596,2025-10-28,7.78000020980835,2025-11-10,7.789999961853027,6.929999828338623,False,False,True,False,False,False,0.0,0,0,,,False,False,TP2-2024/08/20,,,,1157.HK
2025-10-02,0119.HK,1.7599999904632568,1.7599999904632568,1.7000000476837158,1.7200000286102295,1.7200000286102295,3278400,0.0,0.0,1.7009973861605594,1.680539407790425,1.6396390399012548,1.5907823424299097,1.5367548329883072,True,True,LH,LHLLHH,1.5800000429153442,2025-10-08,1.8799999952316284,2025-10-14,2.069999933242798,1.6299999952316284,False,False,False,False,False,True,0.5,2,1,0.0,1.0,False,False,,,,,119.HK
2025-10-06,1196.HK,12.279999732971191,12.470000267028809,12.130000114440918,12.3100004196167,12.3100004196167,1204000,0.0,0.0,12.22024733967445,12.0946018241245,11.328203062792356,10.126744012135,8.444552687829786,True,True,LH,LHLLHH,11.550000190734863,2025-10-20,12.5,2025-11-10,12.56999969482422,11.699999809265137,False,False,False,False,False,True,0.73,8,1,6.0,1.0,False,False,,,,,1196.HK
2025-09-19,1302.HK,1.919999957084656,1.919999957084656,1.830000042915344,1.870000004768372,1.870000004768372,26742000,0.0,0.0,1.8891535530090529,1.936048287454771,1.941302076275602,1.8626922118825675,1.759205577825184,False,False,LH,LHLLHH,1.7400000095367432,2025-09-29,2.309999942779541,2025-10-08,2.440000057220459,1.75,False,False,False,False,False,True,1.0,5,3,2.0,0.0,True,False,SB1-2025/09/19,2.09,2.440000057220459,2.790000114440918,1302.HK
2025-10-08,1302.HK,2.119999885559082,2.440000057220459,2.119999885559082,2.309999942779541,2.309999942779541,84076000,0.0,0.0,1.9898088164630316,1.9459640534293103,1.937009767629893,1.874174796605645,1.7724081484577154,True,True,HH,HHHLLH,2.009999990463257,2025-10-17,2.0,2025-10-30,2.220000028610229,1.7400000095367432,False,False,True,False,False,False,0.0,0,0,,,False,False,TP2-2025/07/03,,,,1302.HK
2025-10-10,1302.HK,2.140000104904175,2.190000057220459,2.069999933242798,2.150000095367432,2.150000095367432,46378000,0.0,0.0,2.041277009255076,1.9791118267584185,1.953010562125129,1.884796316201076,1.7783225300018022,True,True,,,0.0,,0.0,,0.0,0.0,True,False,False,False,False,False,0.0,0,0,,,False,False,BY1-2025/09/19,,,,1302.HK
2025-09-30,1313.HK,1.7899999618530271,1.830000042915344,1.7899999618530271,1.809999942779541,1.809999942779541,7946355,0.0,0.0,1.807982086534765,1.8258288415465325,1.8355931661586908,1.80419948880548,1.7629042198082217,False,False,LH,LHLLHH,1.7300000190734863,2025-10-08,1.8600000143051147,2025-10-10,1.8899999856948853,1.7599999904632568,False,False,False,False,False,True,1.0,2,1,0.0,1.0,False,False,,,,,1313.HK
2025-09-22,1359.HK,1.3700000047683716,1.3700000047683716,1.3200000524520874,1.3300000429153442,1.3300000429153442,152553667,0.0,0.0,1.4051480480402363,1.449057177082052,1.4394564943844177,1.3598795723381736,1.1976025965012838,False,False,,,0.0,,0.0,,0.0,0.0,False,False,False,True,False,False,0.0,0,0,,,False,False,CL1-2025/07/25,,,,1359.HK
2025-09-25,0014.HK,15.859999656677246,15.869999885559082,15.380000114440918,15.5,15.5,3658461,0.0,0.0,15.89320590365379,15.724742719184846,15.286366627474992,14.551057911535182,13.353682832610556,True,True,,,0.0,,0.0,,0.0,0.0,True,False,False,False,False,False,0.0,0,0,,,False,False,BY1-2025/08/25,,,,14.HK
2025-10-06,1448.HK,2.9800000190734863,3.0,2.880000114440918,2.900000095367432,2.7909722328186035,4048100,0.0,0.0,2.814491019004369,2.8880284774279623,3.0485172076425555,3.192413725012744,3.4021537392815926,False,False,LH,LHLLHH,2.740000009536743,2025-10-13,3.0199999809265137,2025-10-28,3.0799999237060547,2.7699999809265137,False,False,False,False,False,True,0.73,8,3,2.0,3.0,True,False,SB1-2025/10/06,2.91,3.0799999237060547,3.249999847412109,1448.HK
2025-10-23,1475.HK,6.639999866485596,9.600000381469728,6.019999980926514,6.179999828338623,6.179999828338623,31695020,0.0,0.0,6.7364511606583735,6.823382637998389,6.862381821057931,6.757841503594022,6.24938106206919,False,False,,,0.0,,0.0,,0.0,0.0,False,False,False,False,True,False,0.0,0,0,,,False,False,CL2-2025/07/30,,,,1475.HK
