volatility_threshold,bullish_ratio_threshold,strong_bullish_min,bullish_count_min,stop_loss_buffer,avg_score,stocks_count
0.16,0.65,2,4,0.99,0.6409859959415064,79
0.18,0.5,1,5,0.99,0.639267283683484,79
0.18,0.5,1,5,0.98,0.639267283683484,79
0.18,0.5,1,5,0.97,0.639267283683484,79
0.12,0.6,1,4,0.99,0.638880675644509,79
0.12,0.6,1,4,0.98,0.638880675644509,79
0.12,0.6,1,4,0.97,0.638880675644509,79
0.1,0.7,2,3,0.99,0.638182706799036,79
0.1,0.7,2,3,0.98,0.638182706799036,79
0.1,0.7,2,3,0.97,0.638182706799036,79
0.16,0.7,2,4,0.98,0.6379973955925619,79
0.16,0.7,2,4,0.97,0.6379973955925619,79
0.16,0.7,2,4,0.99,0.6379973955925619,79
0.18,0.55,1,5,0.98,0.6367176656636387,79
0.18,0.55,1,5,0.99,0.6367176656636387,79
0.18,0.55,1,5,0.97,0.6367176656636387,79
0.14,0.6,2,4,0.99,0.636583403971916,79
0.14,0.6,2,4,0.97,0.636583403971916,79
0.14,0.6,2,4,0.98,0.636583403971916,79
0.12,0.55,1,4,0.97,0.6355959650363612,79
0.12,0.55,1,4,0.98,0.6355959650363612,79
0.12,0.55,1,4,0.99,0.6355959650363612,79
0.1,0.65,2,3,0.99,0.6353782731587072,79
0.1,0.65,2,3,0.98,0.6353782731587072,79
0.1,0.65,2,3,0.97,0.6353782731587072,79
0.12,0.7,3,3,0.97,0.6353241986216117,79
0.12,0.7,3,3,0.99,0.6353241986216117,79
0.12,0.7,3,3,0.98,0.6353241986216117,79
0.18,0.6,1,5,0.98,0.6340460965443585,79
0.18,0.6,1,5,0.97,0.6340460965443585,79
0.18,0.6,1,5,0.99,0.6340460965443585,79
0.14,0.65,2,4,0.98,0.6336792622568655,79
0.14,0.65,2,4,0.99,0.6336792622568655,79
0.14,0.65,2,4,0.97,0.6336792622568655,79
0.14,0.55,2,4,0.98,0.6333860421546795,79
0.14,0.55,2,4,0.97,0.6333860421546795,79
0.14,0.55,2,4,0.99,0.6333860421546795,79
0.18,0.5,3,4,0.97,0.6331356763087336,79
0.18,0.5,3,4,0.98,0.6331356763087336,79
0.18,0.5,3,4,0.99,0.6331356763087336,79
0.12,0.65,3,3,0.99,0.63261433031805,79
0.12,0.65,3,3,0.97,0.63261433031805,79
0.12,0.65,3,3,0.98,0.63261433031805,79
0.1,0.6,2,3,0.97,0.6323252456589978,79
0.1,0.6,2,3,0.98,0.6323252456589978,79
0.1,0.6,2,3,0.99,0.6323252456589978,79
0.12,0.5,1,4,0.99,0.6320660109041822,79
0.12,0.5,1,4,0.97,0.6320660109041822,79
0.12,0.5,1,4,0.98,0.6320660109041822,79
0.16,0.5,1,5,0.97,0.6319082317127649,79
0.16,0.5,1,5,0.98,0.6319082317127649,79
0.16,0.5,1,5,0.99,0.6319082317127649,79
0.18,0.65,1,5,0.98,0.6312505870783064,79
0.18,0.65,1,5,0.97,0.6312505870783064,79
0.18,0.65,1,5,0.99,0.6312505870783064,79
0.14,0.7,2,4,0.98,0.6306517033048157,79
0.14,0.7,2,4,0.97,0.6306517033048157,79
0.14,0.7,2,4,0.99,0.6306517033048157,79
0.18,0.55,3,4,0.99,0.6305936237627837,79
0.18,0.55,3,4,0.98,0.6305936237627837,79
0.18,0.55,3,4,0.97,0.6305936237627837,79
0.14,0.5,2,4,0.98,0.629942433817757,79
0.14,0.5,2,4,0.97,0.629942433817757,79
0.14,0.5,2,4,0.99,0.629942433817757,79
0.16,0.55,1,5,0.98,0.629665982627814,79
0.16,0.55,1,5,0.99,0.629665982627814,79
0.16,0.55,1,5,0.97,0.629665982627814,79
0.12,0.6,3,3,0.97,0.6296550229571628,79
0.12,0.6,3,3,0.98,0.6296550229571628,79
0.12,0.6,3,3,0.99,0.6296550229571628,79
0.1,0.55,2,3,0.97,0.6290271980854254,79
0.1,0.55,2,3,0.98,0.6290271980854254,79
0.1,0.55,2,3,0.99,0.6290271980854254,79
0.18,0.7,1,5,0.99,0.6283290929541292,79
0.18,0.7,1,5,0.98,0.6283290929541292,79
0.18,0.7,1,5,0.97,0.6283290929541292,79
0.18,0.6,3,4,0.97,0.6279305923275054,79
0.18,0.6,3,4,0.98,0.6279305923275054,79
0.18,0.6,3,4,0.99,0.6279305923275054,79
0.16,0.6,1,5,0.99,0.6269518212232965,79
0.16,0.6,1,5,0.97,0.6269518212232965,79
0.16,0.6,1,5,0.98,0.6269518212232965,79
0.12,0.55,3,3,0.98,0.6264497866338329,79
0.12,0.55,3,3,0.99,0.6264497866338329,79
0.12,0.55,3,3,0.97,0.6264497866338329,79
0.16,0.5,3,4,0.97,0.6258403680115295,79
0.16,0.5,3,4,0.99,0.6258403680115295,79
0.16,0.5,3,4,0.98,0.6258403680115295,79
0.1,0.5,2,3,0.98,0.6254876141630579,79
0.1,0.5,2,3,0.99,0.6254876141630579,79
0.1,0.5,2,3,0.97,0.6254876141630579,79
0.18,0.65,3,4,0.98,0.6251446188534977,79
0.18,0.65,3,4,0.97,0.6251446188534977,79
0.18,0.65,3,4,0.99,0.6251446188534977,79
0.1,0.7,1,4,0.99,0.6247611220710119,79
0.1,0.7,1,4,0.98,0.6247611220710119,79
0.1,0.7,1,4,0.97,0.6247611220710119,79
