sno,TP12,TP1,TP2,TP1C,CL1,BY1,,,
0945.HK,6,0,3,0,4,0,13,69.23%,
0966.HK,2,0,0,0,3,0,5,40.00%,
0968.HK,1,1,1,0,0,0,3,100.00%,
0981.HK,4,0,0,1,2,0,7,57.14%,
0992.HK,2,0,0,0,4,0,6,33.33%,
0998.HK,4,0,0,0,1,0,5,80.00%,
1038.HK,5,0,0,1,4,0,10,50.00%,
1044.HK,2,0,0,3,4,0,9,22.22%,
1088.HK,3,0,1,0,6,1,11,36.36%,
1093.HK,2,0,0,0,1,0,3,66.67%,
1128.HK,1,0,1,0,2,0,4,50.00%,
1142.HK,1,0,0,1,1,0,3,33.33%,
1171.HK,3,1,0,0,5,0,9,44.44%,
1177.HK,1,0,0,1,4,0,6,16.67%,
1193.HK,5,0,0,1,2,0,8,62.50%,
1208.HK,3,0,0,2,1,0,6,50.00%,
1209.HK,1,0,0,0,0,0,1,100.00%,
1211.HK,4,0,0,2,2,0,8,50.00%,
1288.HK,1,0,1,1,3,0,6,33.33%,
1299.HK,1,0,0,0,4,0,5,20.00%,
1308.HK,1,0,1,1,3,0,6,33.33%,
1336.HK,1,0,1,0,2,0,4,50.00%,
1339.HK,2,0,0,0,1,0,3,66.67%,
1347.HK,2,0,0,1,0,0,3,66.67%,
1357.HK,1,0,0,1,1,0,3,33.33%,
1378.HK,0,0,0,0,1,0,1,0.00%,
1398.HK,2,0,0,1,2,0,5,40.00%,
1519.HK,0,0,0,1,0,0,1,0.00%,
1530.HK,2,0,0,0,2,0,4,50.00%,
1548.HK,1,0,0,0,6,0,7,14.29%,
1585.HK,2,0,0,0,2,0,4,50.00%,
1658.HK,1,0,0,1,2,0,4,25.00%,
1698.HK,0,0,0,0,1,0,1,0.00%,
1729.HK,1,0,0,0,0,0,1,100.00%,
1735.HK,0,0,0,0,1,0,1,0.00%,
1776.HK,1,0,0,0,3,0,4,25.00%,
1787.HK,2,0,0,0,0,0,2,100.00%,
1788.HK,1,1,0,1,2,0,5,40.00%,
1801.HK,3,0,0,0,0,0,3,100.00%,
1816.HK,3,0,0,1,0,0,4,75.00%,
1818.HK,1,0,0,0,2,0,3,33.33%,
1833.HK,0,0,0,1,0,0,1,0.00%,
1876.HK,1,0,0,2,0,0,3,33.33%,
1882.HK,3,0,1,1,5,0,10,40.00%,
1888.HK,1,0,0,1,0,0,2,50.00%,
1898.HK,1,0,1,1,2,2,7,28.57%,
1913.HK,1,0,0,1,1,1,4,25.00%,
1919.HK,5,0,1,0,1,0,7,85.71%,
1928.HK,1,0,0,0,1,0,2,50.00%,
1929.HK,1,0,0,0,2,0,3,33.33%,
1988.HK,3,0,0,0,3,0,6,50.00%,
2015.HK,1,0,0,0,2,0,3,33.33%,
2018.HK,2,0,0,0,4,0,6,33.33%,
2020.HK,1,0,0,1,2,0,4,25.00%,
2057.HK,1,0,0,0,1,1,3,33.33%,
2096.HK,1,0,0,1,1,1,4,25.00%,
2268.HK,1,0,0,0,1,0,2,50.00%,
2269.HK,1,0,0,0,2,0,3,33.33%,
2282.HK,1,0,2,0,2,0,5,60.00%,
2318.HK,3,0,0,0,5,0,8,37.50%,
2319.HK,2,0,0,3,3,1,9,22.22%,
2328.HK,2,0,0,1,3,0,6,33.33%,
2331.HK,1,0,0,0,6,0,7,14.29%,
2333.HK,2,0,0,0,3,0,5,40.00%,
2359.HK,2,0,0,1,1,0,4,50.00%,
2367.HK,0,0,0,1,2,0,3,0.00%,
2378.HK,2,0,1,0,2,0,5,60.00%,
2380.HK,2,0,0,0,0,1,3,66.67%,
2382.HK,1,0,0,0,3,0,4,25.00%,
2388.HK,3,0,0,0,1,1,5,60.00%,
2400.HK,0,1,0,0,3,0,4,25.00%,
2588.HK,2,0,0,0,1,0,3,66.67%,
2600.HK,3,0,0,0,2,0,5,60.00%,
2601.HK,2,0,0,1,1,1,5,40.00%,
2618.HK,0,0,0,0,1,0,1,0.00%,
2628.HK,3,0,0,1,4,0,8,37.50%,
2688.HK,4,1,0,1,4,0,10,50.00%,
2799.HK,1,0,0,0,0,1,2,50.00%,
2888.HK,4,0,1,2,4,0,11,45.45%,
2899.HK,1,0,0,1,2,0,4,25.00%,
3328.HK,1,0,0,1,1,0,3,33.33%,
3606.HK,0,0,0,1,0,0,1,0.00%,
3690.HK,1,0,0,0,0,0,1,100.00%,
3800.HK,1,0,0,1,1,0,3,33.33%,
3808.HK,2,0,0,0,3,0,5,40.00%,
3939.HK,0,0,1,0,0,0,1,100.00%,
3968.HK,1,0,0,1,2,0,4,25.00%,
6088.HK,1,0,0,0,2,0,3,33.33%,
6690.HK,0,0,0,0,1,0,1,0.00%,
6823.HK,0,0,1,0,2,0,3,33.33%,
6862.HK,2,0,0,1,1,0,4,50.00%,
6936.HK,1,0,0,0,0,0,1,100.00%,
6969.HK,0,0,0,1,1,0,2,0.00%,
6979.HK,1,0,0,0,0,2,3,33.33%,
81211.HK,0,0,0,1,0,0,1,0.00%,
83690.HK,0,0,0,0,1,0,1,0.00%,
9618.HK,0,0,0,0,2,0,2,0.00%,
9633.HK,1,0,0,1,1,0,3,33.33%,
9863.HK,1,0,0,0,1,0,2,50.00%,
9866.HK,1,0,0,0,3,0,4,25.00%,
9888.HK,1,0,0,0,4,0,5,20.00%,
9896.HK,1,0,0,0,2,0,3,33.33%,
9961.HK,0,0,0,0,1,0,1,0.00%,
9988.HK,0,0,0,1,1,0,2,0.00%,
9999.HK,2,0,0,1,3,0,6,33.33%,
,318,21,34,90,380,21,864,43.17%,324
