sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1
1345.HK,0,0,2,0,0,0,0,0
1358.HK,0,0,0,0,0,1,1,0
1359.HK,0,0,0,0,0,0,0,1
1375.HK,0,0,0,0,0,0,0,1
1385.HK,0,0,0,0,0,0,0,1
1428.HK,0,0,0,0,1,0,0,0
1448.HK,0,0,1,0,0,0,1,0
1456.HK,0,0,0,0,1,0,0,1
1458.HK,1,0,0,0,0,0,0,1
1477.HK,0,0,0,0,0,0,1,0
1478.HK,0,0,0,0,0,0,1,0
1501.HK,0,0,0,0,1,0,0,0
1513.HK,1,0,0,0,0,0,0,0
1551.HK,0,0,0,0,0,0,0,1
1578.HK,0,0,0,0,0,0,0,1
1600.HK,0,0,0,0,0,0,1,0
1610.HK,0,0,0,0,0,0,0,1
1618.HK,0,1,0,0,0,0,1,0
1645.HK,0,0,0,0,0,1,0,1
1681.HK,0,0,0,0,0,0,0,1
1691.HK,0,0,0,0,0,0,1,0
1709.HK,0,1,0,0,0,0,0,0
1713.HK,0,0,0,1,0,0,0,0
1729.HK,0,0,0,0,0,0,1,0
1733.HK,0,0,0,0,0,0,1,0
1760.HK,0,0,0,0,0,0,0,1
1766.HK,0,1,0,0,0,1,0,0
1773.HK,0,0,1,0,0,0,0,0
1782.HK,0,0,0,0,1,0,0,0
1788.HK,1,0,0,0,0,0,0,0
1798.HK,0,0,0,0,0,0,1,0
1833.HK,0,0,0,0,0,0,1,0
1837.HK,1,0,0,0,0,0,0,0
1877.HK,0,0,0,0,0,0,0,2
1880.HK,0,0,0,0,0,0,0,1
1890.HK,0,1,0,0,0,0,0,0
1951.HK,1,0,0,0,0,0,0,0
1952.HK,0,0,0,0,0,0,0,1
1963.HK,0,0,1,0,0,0,0,0
1969.HK,0,0,0,0,1,0,0,0
1981.HK,1,0,0,0,0,0,0,0
1999.HK,0,0,0,0,0,0,0,1
2001.HK,0,0,0,0,0,0,1,0
2016.HK,0,0,0,0,0,0,0,1
2025.HK,0,0,0,0,0,0,1,0
2038.HK,1,0,0,0,0,0,0,0
2121.HK,0,1,0,0,0,0,0,0
2128.HK,0,0,0,0,0,0,2,1
2142.HK,1,0,0,0,0,0,0,0
2145.HK,0,0,0,0,0,0,1,0
2158.HK,0,0,0,0,1,0,0,0
2161.HK,1,0,0,0,0,0,0,0
2162.HK,0,0,0,0,0,0,0,1
2181.HK,0,1,0,0,0,0,0,0
2192.HK,1,0,0,0,0,0,0,0
2196.HK,0,0,0,0,0,0,0,1
2198.HK,0,0,0,0,0,0,0,1
2208.HK,0,0,0,0,0,0,1,0
2238.HK,0,0,0,0,0,1,0,1
2255.HK,1,0,0,0,0,0,0,0
2273.HK,0,0,0,0,0,0,1,0
2299.HK,0,0,0,0,0,0,1,0
2314.HK,0,0,0,0,0,0,0,1
2342.HK,1,1,0,0,2,0,0,0
2343.HK,0,0,0,0,0,0,1,0
2356.HK,1,0,0,0,0,0,0,0
2357.HK,1,0,0,0,0,0,0,1
2360.HK,0,0,0,0,0,0,1,0
2362.HK,0,0,0,0,0,0,0,1
2386.HK,0,1,0,0,0,0,0,0
2487.HK,1,0,0,0,0,0,0,0
2517.HK,0,0,0,0,0,0,1,0
2518.HK,0,1,0,0,0,0,0,0
2552.HK,0,0,0,0,1,1,0,0
2616.HK,1,0,0,0,0,0,0,0
2689.HK,0,0,0,0,0,0,1,0
2722.HK,0,0,1,0,0,0,0,0
2858.HK,0,0,0,0,1,0,0,0
2880.HK,0,0,0,0,0,0,0,1
3323.HK,0,0,0,0,0,0,0,1
3337.HK,1,0,0,0,1,0,0,0
3339.HK,0,1,0,0,0,0,0,0
3347.HK,0,0,1,0,0,0,0,0
3396.HK,0,0,0,0,0,0,0,1
3600.HK,1,0,0,0,0,0,0,0
3633.HK,0,0,0,0,0,0,1,0
3669.HK,0,0,0,0,0,0,1,0
3681.HK,0,0,0,0,0,0,1,0
3698.HK,1,0,0,0,1,0,0,0
3759.HK,0,0,0,0,0,0,1,0
3788.HK,0,0,1,0,0,0,0,1
3833.HK,0,0,0,0,0,0,0,1
3868.HK,0,0,0,0,0,0,0,1
3896.HK,0,1,0,0,0,0,0,0
3899.HK,0,0,0,0,0,0,1,0
3931.HK,0,0,1,0,0,0,0,1
3969.HK,0,0,0,0,0,0,0,1
3983.HK,0,0,0,0,0,0,1,0
3996.HK,0,0,0,0,0,0,0,1
6060.HK,0,0,0,0,0,0,0,1
6288.HK,1,0,0,0,0,0,0,0
6638.HK,0,0,0,0,0,0,0,1
6808.HK,0,0,0,0,0,0,0,1
6896.HK,0,0,0,0,1,0,0,0
6929.HK,0,1,0,0,0,0,0,0
6993.HK,0,0,1,0,0,0,0,0
9676.HK,0,0,0,0,0,0,1,0
9879.HK,0,0,0,0,0,1,0,0
9911.HK,1,0,0,0,0,0,1,0
