sno,TP12,TP1,TP2,TP1C,CL1,BY1
0689.HK,0,0,1,0,0,0
0690.HK,0,0,1,0,0,0
0698.HK,0,0,0,0,1,0
0702.HK,1,0,0,0,1,0
0704.HK,0,0,0,0,2,0
0707.HK,0,0,0,2,0,0
0711.HK,0,0,1,1,0,0
0713.HK,0,0,0,1,0,0
0716.HK,0,0,0,0,3,0
0719.HK,0,0,0,0,1,0
0721.HK,0,0,0,0,1,0
0724.HK,0,0,0,0,1,0
0726.HK,1,0,0,0,1,0
0730.HK,0,0,0,0,2,0
0733.HK,2,0,0,0,1,0
0738.HK,1,0,0,0,0,0
0750.HK,0,0,0,0,2,0
0755.HK,0,0,1,0,0,0
0756.HK,0,0,0,1,2,0
0757.HK,1,0,0,1,1,0
0759.HK,0,0,0,1,1,0
0764.HK,2,1,0,0,2,0
0765.HK,1,0,0,0,1,0
0767.HK,1,0,0,0,0,0
0768.HK,2,0,0,0,1,0
0769.HK,0,0,0,1,0,0
0770.HK,0,0,1,0,0,0
0771.HK,2,0,0,0,1,0
0776.HK,0,0,0,1,0,0
0789.HK,0,0,0,0,0,1
0794.HK,0,0,1,1,0,0
0797.HK,0,1,0,0,0,0
0802.HK,0,0,0,0,1,0
0804.HK,0,0,0,1,0,0
0810.HK,0,0,0,1,0,0
0814.HK,1,0,1,0,1,0
0815.HK,2,0,0,0,1,0
0818.HK,2,0,0,0,0,0
0821.HK,1,0,0,0,2,0
0822.HK,0,0,0,0,1,0
0827.HK,1,0,0,0,1,0
0829.HK,0,0,0,1,0,0
0833.HK,0,0,0,1,1,0
0837.HK,1,0,0,0,0,0
0840.HK,1,0,0,0,1,0
0841.HK,1,0,0,0,0,1
0844.HK,0,0,0,0,1,0
0848.HK,0,0,0,0,1,0
0851.HK,1,0,0,0,4,0
0858.HK,0,0,1,1,0,0
0859.HK,1,0,0,0,0,0
0860.HK,2,0,0,0,0,0
0862.HK,1,0,1,0,0,0
0871.HK,0,0,0,0,1,0
0887.HK,0,1,0,0,1,0
0894.HK,2,0,0,0,0,0
0895.HK,2,0,0,1,2,0
0897.HK,0,0,0,0,2,0
0899.HK,1,0,0,0,1,0
0905.HK,0,0,0,0,1,0
0907.HK,1,0,0,0,0,0
0911.HK,1,0,0,0,0,0
0912.HK,0,0,0,2,0,0
0915.HK,1,0,0,0,1,0
0919.HK,2,0,0,0,1,1
0922.HK,0,0,0,1,0,0
0923.HK,1,0,0,1,0,0
0926.HK,0,0,1,0,0,0
0927.HK,2,0,0,1,1,0
0929.HK,1,0,0,0,0,0
0936.HK,0,0,0,2,0,0
0947.HK,0,0,0,0,1,0
0948.HK,0,0,0,0,1,0
0950.HK,0,0,0,1,0,0
0951.HK,0,0,0,0,1,0
0952.HK,0,0,1,0,1,0
0953.HK,0,0,1,0,2,0
0970.HK,1,0,0,0,1,0
0983.HK,0,0,0,0,1,0
0987.HK,2,0,0,0,1,0
0993.HK,0,0,0,0,2,0
1000.HK,0,0,0,1,0,0
1002.HK,0,0,0,0,1,0
1003.HK,2,0,0,0,1,0
1004.HK,0,0,1,0,1,0
1005.HK,1,0,0,2,1,0
1008.HK,0,0,1,0,1,0
1009.HK,0,0,0,0,2,0
1011.HK,1,0,0,0,1,0
1020.HK,1,0,1,0,3,0
1022.HK,0,0,0,0,1,0
1023.HK,1,0,0,0,1,0
1025.HK,0,0,0,1,0,0
1026.HK,0,1,0,0,2,0
1028.HK,0,0,0,0,1,0
1037.HK,0,0,1,0,1,0
1045.HK,0,0,0,0,1,0
1046.HK,0,0,0,0,2,0
1049.HK,1,1,0,0,0,0
1053.HK,1,0,1,0,1,0
1057.HK,1,0,0,0,0,0
1062.HK,0,1,0,0,1,0
1063.HK,0,0,0,0,2,0
1068.HK,1,0,0,0,0,0
1073.HK,2,0,0,0,0,0
1075.HK,0,0,1,0,2,0
1079.HK,0,0,1,0,0,0
1082.HK,1,1,0,0,0,0
1085.HK,2,0,1,0,0,0
1086.HK,0,0,0,0,1,0
1090.HK,1,0,0,0,2,0
1094.HK,1,0,0,1,0,0
1097.HK,1,0,1,0,0,0
1100.HK,2,0,0,0,2,0
1110.HK,1,0,0,0,0,0
1118.HK,0,0,0,0,1,0
1119.HK,0,0,0,0,1,0
1120.HK,0,0,0,0,1,0
1122.HK,1,0,0,0,1,0
1123.HK,0,0,0,0,1,1
1127.HK,0,0,0,0,1,0
1129.HK,0,0,0,0,2,0
1132.HK,1,0,0,0,1,0
1137.HK,0,0,1,0,0,0
1141.HK,0,0,0,1,1,0
1143.HK,1,0,1,0,1,0
1145.HK,0,0,0,1,1,0
1146.HK,0,0,0,1,0,0
1150.HK,0,0,0,1,1,0
1152.HK,0,0,0,0,1,0
1170.HK,0,0,0,0,2,0
1172.HK,0,0,0,0,2,0
1173.HK,0,0,0,0,1,0
1182.HK,1,0,0,2,1,0
1183.HK,1,0,0,0,0,1
1185.HK,1,0,0,0,2,0
1188.HK,0,0,0,1,0,0
1189.HK,1,0,1,0,0,0
1195.HK,0,0,0,0,1,0
1198.HK,1,0,0,0,0,0
1200.HK,0,0,0,1,0,0
1201.HK,0,0,0,0,1,0
1203.HK,2,0,0,0,0,0
1217.HK,0,0,1,0,0,0
1220.HK,1,0,0,0,1,0
1221.HK,0,0,0,0,1,0
1222.HK,0,0,0,0,1,0
1225.HK,0,0,0,1,0,0
1229.HK,0,0,0,0,2,0
1231.HK,0,0,0,0,0,1
1235.HK,0,0,0,1,0,0
1239.HK,1,0,0,0,0,0
1241.HK,0,0,0,0,1,0
1244.HK,1,0,0,0,0,0
1245.HK,1,0,0,0,1,0
1251.HK,0,0,0,0,1,0
1253.HK,0,0,0,1,0,0
1255.HK,0,0,0,0,2,0
1259.HK,1,0,0,0,0,0
1262.HK,0,0,0,2,0,0
1269.HK,1,0,0,0,1,0
1273.HK,1,0,0,0,0,0
1284.HK,1,0,0,0,0,0
1292.HK,0,0,0,1,0,0
1293.HK,0,0,0,0,1,0
1298.HK,0,0,0,0,2,0
