sno,TP12,TP1,TP2,TP1C,CL1,BY1,,,
0500.HK,4,0,0,0,4,0,8,50.00%,
0509.HK,0,0,0,1,1,0,2,0.00%,
0510.HK,0,0,0,0,3,0,3,0.00%,
0511.HK,2,0,0,1,4,1,8,25.00%,
0513.HK,1,0,0,0,2,1,4,25.00%,
0515.HK,0,3,0,0,3,1,7,42.86%,
0518.HK,0,0,0,0,0,1,1,0.00%,
0520.HK,1,0,0,0,2,1,4,25.00%,
0524.HK,0,0,0,0,2,0,2,0.00%,
0526.HK,2,0,0,1,3,0,6,33.33%,
0527.HK,0,1,1,0,2,1,5,40.00%,
0528.HK,0,0,0,0,1,1,2,0.00%,
0529.HK,0,0,0,0,2,0,2,0.00%,
0532.HK,1,0,0,0,0,0,1,100.00%,
0533.HK,0,1,0,1,2,0,4,25.00%,
0536.HK,0,1,1,0,1,0,3,66.67%,
0538.HK,0,1,0,1,3,0,5,20.00%,
0540.HK,0,0,2,0,2,1,5,40.00%,
0543.HK,1,0,0,0,2,2,5,20.00%,
0544.HK,0,0,0,1,2,1,4,0.00%,
0550.HK,0,0,0,0,6,0,6,0.00%,
0553.HK,1,1,1,3,2,2,10,30.00%,
0554.HK,1,0,0,0,0,0,1,100.00%,
0556.HK,1,0,0,0,3,0,4,25.00%,
0557.HK,0,2,0,0,1,2,5,40.00%,
0559.HK,0,0,0,1,4,1,6,0.00%,
0560.HK,2,0,0,0,1,1,4,50.00%,
0567.HK,0,0,0,0,3,3,6,0.00%,
0568.HK,2,0,0,1,2,2,7,28.57%,
0571.HK,1,1,1,0,0,1,4,75.00%,
0573.HK,0,0,0,0,1,0,1,0.00%,
0574.HK,1,0,0,0,2,2,5,20.00%,
0575.HK,1,0,0,0,3,1,5,20.00%,
0582.HK,2,0,0,0,5,0,7,28.57%,
0585.HK,1,0,2,0,1,0,4,75.00%,
0587.HK,0,0,0,0,4,0,4,0.00%,
0591.HK,0,0,0,0,2,1,3,0.00%,
0595.HK,2,0,0,0,6,1,9,22.22%,
0599.HK,0,0,0,0,1,0,1,0.00%,
0601.HK,0,1,0,0,0,0,1,100.00%,
0602.HK,0,0,0,1,1,0,2,0.00%,
0603.HK,2,0,0,0,2,1,5,40.00%,
0605.HK,0,2,0,0,2,2,6,33.33%,
0606.HK,0,0,0,0,1,0,1,0.00%,
0608.HK,0,0,0,0,1,0,1,0.00%,
0609.HK,0,1,0,0,1,0,2,50.00%,
0610.HK,0,1,0,0,0,0,1,100.00%,
0611.HK,1,2,0,0,0,0,3,100.00%,
0612.HK,3,0,0,1,1,1,6,50.00%,
0613.HK,1,0,0,0,2,0,3,33.33%,
0617.HK,2,0,1,0,0,0,3,100.00%,
0618.HK,0,0,0,0,1,1,2,0.00%,
0619.HK,0,0,0,0,2,1,3,0.00%,
0620.HK,1,0,0,0,0,0,1,100.00%,
0621.HK,1,1,0,0,3,1,6,33.33%,
0623.HK,1,0,0,0,1,0,2,50.00%,
0626.HK,1,0,1,1,2,0,5,40.00%,
0628.HK,0,0,0,2,1,0,3,0.00%,
0629.HK,0,0,1,1,1,0,3,33.33%,
0630.HK,0,1,1,2,1,0,5,40.00%,
0632.HK,4,0,1,1,1,1,8,62.50%,
0635.HK,2,0,0,1,1,0,4,50.00%,
0637.HK,1,0,0,0,2,0,3,33.33%,
0641.HK,0,0,0,0,4,0,4,0.00%,
0643.HK,1,1,0,0,4,0,6,33.33%,
0646.HK,0,0,0,0,0,4,4,0.00%,
0648.HK,3,1,0,0,2,1,7,57.14%,
0650.HK,2,0,2,0,5,1,10,40.00%,
0653.HK,1,0,1,0,3,0,5,40.00%,
0657.HK,0,0,0,0,0,1,1,0.00%,
0660.HK,0,0,0,0,3,0,3,0.00%,
0661.HK,1,1,1,0,3,1,7,42.86%,
0663.HK,1,1,1,0,2,0,5,60.00%,
0673.HK,0,1,1,2,6,0,10,20.00%,
0675.HK,1,0,0,1,1,1,4,25.00%,
0677.HK,0,0,0,0,1,0,1,0.00%,
0679.HK,2,1,0,0,0,0,3,100.00%,
0681.HK,0,0,0,0,2,1,3,0.00%,
0682.HK,2,0,0,0,2,0,4,50.00%,
0684.HK,0,0,0,0,0,1,1,0.00%,
0685.HK,1,1,0,0,0,1,3,66.67%,
0687.HK,0,0,0,1,0,0,1,0.00%,
0689.HK,0,2,0,2,3,1,8,25.00%,
0690.HK,1,1,0,1,3,1,7,28.57%,
0701.HK,3,0,0,0,4,0,7,42.86%,
0702.HK,0,0,0,0,4,1,5,0.00%,
0703.HK,1,0,0,0,5,0,6,16.67%,
0704.HK,1,0,0,0,2,2,5,20.00%,
0707.HK,2,0,0,1,5,0,8,25.00%,
