股票編號,股票名稱,行業編號,現價#,升跌,升跌(%),成交量,成交額,市盈率,市賬率,收益率,市值,股票編號_df4,流動比率,速動比率,資產回報率,股本回報率,毛利率,邊際利潤率,派息比率,債務股本比率,截至,股票編號_df6,收入,年度收入增長,經營溢利,經營利益率,股東應佔溢利,邊際利潤率_df6,每股盈利,每股盈利年度增長,截至_df6,sno,數字市值,type
00107.HK,四川成渝高速公路,100503,5.620,-0.020,-0.355%,1.74百萬,9.76百萬,11.15,0.88,5.61%,50.32億,00107.HK,0.49,0.47,2.07%,7.60%,24.60%,10.28%,61.70%,241.05%,2023/12,00107.HK,126.95億,8.000%,16.78億,13.217%,13.05億,10.283%,0.426,84.390%,2023/12,0107.HK,5032000000.0,M
00108.HK,國銳生活,090203,2.970,-0.020,-0.669%,2.00百萬,5.92百萬,無盈利,9.90,0.00%,95.62億,00108.HK,0.90,0.77,-2.02%,-6.70%,100.00%,-36.67%,N/A,139.69%,2023/12,00108.HK,4.18億,4.000%,-6.99千萬,-19.835%,-1.29億,-36.668%,-0.040,59.640%,2023/12,0108.HK,9562000000.0,M
00116.HK,周生生,020604,12.920,+0.140,+1.095%,1.19百萬,1.53千萬,10.85,0.70,3.95%,86.79億,00116.HK,2.71,0.54,5.29%,8.30%,26.40%,4.05%,40.13%,46.09%,2023/12,00116.HK,250.13億,21.000%,13.57億,5.427%,10.13億,4.049%,1.495,123.802%,2023/12,0116.HK,8679000000.0,M
00119.HK,保利置業集團,090204,1.980,+0.050,+2.591%,2.12千萬,4.19千萬,38.90,0.21,1.06%,75.66億,00119.HK,1.73,0.46,0.70%,4.24%,20.42%,3.53%,20.03%,216.81%,2023/12,00119.HK,448.70億,-3.000%,44.98億,10.023%,15.84億,3.529%,0.414,69.235%,2023/12,0119.HK,7566000000.0,M
00167.HK,IDT,020401,8.610,-0.910,-9.559%,1.12百萬,1.00千萬,3.26,N/A,0.00%,44.77億,00167.HK,0.01,0.01,-777.91%,4.15%,7.94%,"-1,159.54%",N/A,-17.46%,2023/12,00167.HK,1.22百萬,-44.000%,-1.42千萬,"-1,159.132%",-1.42千萬,"-1,159.541%",-0.005,35.714%,2023/12,0167.HK,4477000000.0,M
00173.HK,嘉華國際,090204,2.350,-0.030,-1.261%,66.20萬,1.56百萬,22.11,0.19,3.83%,74.09億,00173.HK,2.70,0.83,1.11%,1.90%,33.07%,13.14%,62.50%,35.87%,2023/12,00173.HK,61.03億,-30.000%,14.91億,24.433%,8.02億,13.144%,0.256,-41.566%,2023/12,0173.HK,7409000000.0,M
00200.HK,新濠國際發展,100405,3.830,+0.080,+2.133%,2.10百萬,7.99百萬,無盈利,168.72,0.00%,87.13億,00200.HK,1.46,1.43,-1.95%,-262.25%,100.00%,-5.91%,N/A,"9,905.85%",2023/12,00200.HK,295.32億,179.000%,7.15億,2.422%,-17.44億,-5.905%,-1.160,65.882%,2023/12,0200.HK,8713000000.0,M
00215.HK,和記電訊香港,110101,1.210,+0.010,+0.833%,4.25百萬,5.09百萬,無盈利,0.64,6.19%,58.31億,00215.HK,2.24,2.19,-0.36%,-0.53%,72.63%,-1.06%,-693.52%,4.89%,2023/12,00215.HK,48.96億,N/A,2.60千萬,0.531%,-5.20千萬,-1.062%,-0.011,67.073%,2023/12,0215.HK,5831000000.0,M
00258.HK,湯臣集團,090204,2.630,+0.030,+1.154%,26.80萬,70.01萬,31.46,0.49,4.94%,59.41億,00258.HK,2.05,0.82,0.23%,0.36%,69.58%,8.31%,471.70%,3.28%,2023/12,00258.HK,5.14億,11.000%,1.37億,26.704%,4.27千萬,8.307%,0.021,143.678%,2023/12,0258.HK,5941000000.0,M
00259.HK,億都（國際控股）,060105,3.350,+0.020,+0.601%,5.60萬,18.72萬,1.12,0.87,55.22%,31.27億,00259.HK,5.74,5.38,6.08%,7.35%,15.37%,18.87%,26.74%,1.48%,2024/03,00259.HK,9.37億,-29.000%,4.96千萬,5.300%,1.77億,18.873%,0.187,-70.597%,2024/03,0259.HK,3127000000.0,M
00272.HK,瑞安房地產,090201,0.660,+0.010,+1.538%,3.08百萬,2.01百萬,27.62,0.13,5.46%,52.98億,00272.HK,1.06,0.94,0.80%,2.08%,51.73%,8.31%,81.29%,97.31%,2023/12,00272.HK,106.90億,-39.000%,21.03億,19.668%,8.88億,8.306%,0.111,-13.147%,2023/12,0272.HK,5298000000.0,M
00289.HK,永安國際,100304,14.280,0.000,0.000%,300.00,4.28千,無盈利,0.25,5.95%,41.18億,00289.HK,10.47,10.28,0.63%,0.67%,100.00%,11.68%,221.70%,0.29%,2023/12,00289.HK,13.11億,14.000%,5.65億,53.455%,1.23億,11.680%,0.424,N/A,2023/12,0289.HK,4118000000.0,M
00308.HK,香港中旅,100404,1.170,+0.020,+1.739%,1.00千萬,1.17千萬,61.26,0.40,1.28%,64.78億,00308.HK,1.98,0.91,0.96%,1.46%,33.71%,5.33%,57.74%,11.54%,2023/12,00308.HK,44.94億,48.000%,5.63億,12.536%,2.40億,5.330%,0.043,N/A,2023/12,0308.HK,6478000000.0,M
00315.HK,數碼通電訊,110101,4.960,-0.030,-0.601%,60.78萬,3.02百萬,11.41,1.03,6.45%,54.61億,00315.HK,1.03,0.99,4.21%,9.07%,66.21%,7.56%,75.12%,18.57%,2024/06,00315.HK,62.21億,-8.000%,7.01億,11.261%,4.70億,7.557%,0.426,75.309%,2024/06,0315.HK,5461000000.0,M
00317.HK,中船防務,060204,15.880,+0.180,+1.146%,2.69百萬,4.26千萬,55.96,1.18,0.56%,94.02億,00317.HK,1.13,0.92,0.09%,0.29%,6.63%,0.30%,32.35%,32.16%,2023/12,00317.HK,176.99億,22.000%,7.69千萬,0.435%,5.27千萬,0.298%,0.037,-93.217%,2023/12,0317.HK,9402000000.0,M
00323.HK,馬鞍山鋼鐵股份,080403,2.780,-0.240,-7.947%,2.59千萬,7.35千萬,無盈利,0.87,0.00%,48.18億,00323.HK,0.50,0.28,-1.57%,-4.78%,1.65%,-1.34%,N/A,73.18%,2023/12,00323.HK,"1,084.56億",-5.000%,-17.47億,-1.611%,-14.55億,-1.342%,-0.189,-45.674%,2023/12,0323.HK,4818000000.0,M
00327.HK,百富環球,070303,4.570,+0.070,+1.556%,2.36百萬,1.07千萬,6.83,0.64,10.72%,48.53億,00327.HK,5.07,3.85,12.73%,15.49%,44.62%,17.22%,40.93%,1.45%,2023/12,00327.HK,67.09億,-16.000%,12.54億,18.696%,11.55億,17.217%,1.075,-8.120%,2023/12,0327.HK,4853000000.0,M
00338.HK,上海石油化工股份,080101,1.440,+0.020,+1.408%,1.55千萬,2.22千萬,46.45,0.58,1.51%,46.28億,00338.HK,1.06,0.53,-3.40%,-5.43%,-1.65%,-1.45%,N/A,14.95%,2023/12,00338.HK,"1,018.72億",9.000%,-19.22億,-1.886%,-14.76億,-1.449%,-0.137,53.815%,2023/12,0338.HK,4628000000.0,M
00345.HK,維他奶國際,020205,6.470,+0.050,+0.779%,98.43萬,6.34百萬,29.54,2.25,2.20%,65.79億,00345.HK,1.01,0.76,2.06%,3.87%,50.05%,1.87%,70.64%,18.60%,2024/03,00345.HK,62.17億,-1.000%,1.85億,2.983%,1.16億,1.872%,0.109,153.488%,2024/03,0345.HK,6579000000.000001,M
00369.HK,永泰地產,090202,2.370,0.000,0.000%,0.00,0.00,無盈利,0.15,2.95%,32.58億,00369.HK,2.20,1.14,-2.62%,-3.64%,77.14%,-100.91%,-21.21%,27.86%,2023/12,00369.HK,8.82億,-78.000%,-4.62億,-52.301%,-8.90億,-100.907%,-0.660,-65.000%,2023/12,0369.HK,3258000000.0,M
00400.HK,硬蛋創新,070101,2.840,-0.010,-0.351%,1.82百萬,5.18百萬,19.28,0.97,0.00%,46.70億,00400.HK,1.51,0.61,2.07%,5.28%,11.62%,2.38%,N/A,56.08%,2023/12,00400.HK,97.16億,-9.000%,3.90億,4.017%,2.31億,2.377%,0.169,-33.194%,2023/12,0400.HK,4670000000.0,M
00411.HK,南順（香港）,020702,12.770,0.000,0.000%,0.00,0.00,9.89,0.99,3.76%,31.08億,00411.HK,4.42,3.39,5.66%,6.91%,20.94%,4.15%,47.06%,0.14%,2024/06,00411.HK,48.38億,-5.000%,2.45億,5.061%,2.01億,4.147%,0.850,136.111%,2024/06,0411.HK,3108000000.0,M
00412.HK,山高控股,040203,1.590,+0.060,+3.922%,6.63百萬,1.04千萬,167.37,"7,950.00",0.00%,95.65億,00412.HK,1.29,1.29,0.02%,-1.51%,44.72%,0.27%,N/A,"-4,974.74%",2023/12,00412.HK,55.29億,31.000%,6.60億,11.944%,1.51千萬,0.273%,0.003,N/A,2023/12,0412.HK,9565000000.0,M
00468.HK,紛美包裝,080302,2.280,0.000,0.000%,0.00,0.00,N/A,N/A,9.65%,32.08億,00468.HK,2.53,1.70,6.06%,8.42%,17.85%,6.40%,50.68%,5.78%,2023/12,00468.HK,41.84億,-5.000%,3.50億,8.375%,2.68億,6.399%,0.197,24.936%,2023/12,0468.HK,3208000000.0,M
00501.HK,豪威集團,070101,97.500,+3.200,+3.393%,34.33萬,3.29千萬,N/A,N/A,0.00%,49.47億,00501.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,00501.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0501.HK,4947000000.0,M
00521.HK,CWT,080402,0.335,+0.010,+3.077%,1.96千萬,6.40百萬,12.55,1.29,0.00%,38.19億,00521.HK,1.14,0.97,0.15%,0.84%,4.42%,0.11%,N/A,171.17%,2023/12,00521.HK,372.26億,-3.000%,1.41億,0.378%,3.91千萬,0.105%,0.003,-74.627%,2023/12,0521.HK,3819000000.0,M
00525.HK,廣深鐵路股份,100504,2.140,-0.030,-1.382%,4.33百萬,9.33百萬,13.44,0.53,3.58%,30.63億,00525.HK,1.10,1.06,2.84%,4.01%,100.00%,4.04%,46.67%,10.93%,2023/12,00525.HK,287.15億,27.000%,16.86億,5.873%,11.60億,4.040%,0.164,N/A,2023/12,0525.HK,3063000000.0,M
00548.HK,深圳高速公路股份,100503,7.430,+0.010,+0.135%,92.89萬,6.85百萬,15.84,0.85,3.60%,55.54億,00548.HK,0.35,0.28,3.45%,12.68%,36.00%,25.04%,56.01%,178.07%,2023/12,00548.HK,101.90億,-3.000%,33.03億,32.419%,25.51億,25.036%,1.076,13.734%,2023/12,0548.HK,5554000000.0,M
00558.HK,力勁科技,060203,2.990,+0.020,+0.673%,1.15百萬,3.38百萬,11.65,2.05,2.51%,40.80億,00558.HK,1.84,1.40,4.75%,26.98%,27.21%,8.87%,26.91%,97.27%,2024/03,00558.HK,58.37億,-1.000%,6.59億,11.285%,4.84億,8.869%,0.353,-8.786%,2024/03,0558.HK,4079999999.9999995,M
00564.HK,中創智領,020102,20.300,-0.160,-0.782%,1.62百萬,3.25千萬,8.61,1.55,6.02%,49.38億,00564.HK,1.89,1.41,6.68%,16.20%,21.55%,9.06%,44.87%,42.45%,2023/12,00564.HK,399.27億,10.000%,44.63億,11.178%,36.19億,9.064%,2.052,25.138%,2023/12,0564.HK,4938000000.0,M
00565.HK,錦藝集團控股,090203,2.440,+0.200,+8.929%,1.17千萬,2.80千萬,156.41,186.26,0.00%,65.61億,00565.HK,0.63,0.63,-38.08%,"3,411.34%",64.46%,-243.61%,-0.99%,"-8,075.07%",2024/06,00565.HK,1.11億,-22.000%,-2.53億,-227.889%,-2.71億,-243.606%,-0.101,60.386%,2024/06,0565.HK,6561000000.0,M
00570.HK,中國中藥,050202,1.960,+0.010,+0.513%,2.20千萬,4.26千萬,171.93,0.44,4.41%,98.70億,00570.HK,2.12,1.48,3.47%,6.07%,51.18%,7.09%,N/A,24.39%,2023/12,00570.HK,198.65億,23.000%,15.65億,7.876%,14.09億,7.092%,0.280,63.362%,2023/12,0570.HK,9870000000.0,M
00579.HK,京能清潔能源,120105,2.460,-0.030,-1.205%,9.50百萬,2.34千萬,5.88,0.58,6.35%,69.61億,00579.HK,0.89,0.89,3.27%,9.97%,100.00%,14.95%,37.69%,165.42%,2023/12,00579.HK,236.48億,N/A,56.87億,25.374%,33.52億,14.955%,0.407,4.558%,2023/12,0579.HK,6961000000.0,M
00581.HK,中國東方集團,080403,1.460,-0.020,-1.351%,3.04百萬,4.44百萬,34.27,0.23,4.11%,54.35億,00581.HK,1.24,0.97,-0.32%,-0.72%,1.55%,-0.35%,-114.03%,69.63%,2023/12,00581.HK,507.10億,-7.000%,-1.23億,-0.243%,-1.75億,-0.345%,-0.044,N/A,2023/12,0581.HK,5435000000.0,M
00596.HK,浪潮數字企業,070203,3.390,-0.080,-2.305%,3.51百萬,1.20千萬,9.46,1.45,2.36%,41.42億,00596.HK,1.17,1.17,3.19%,9.85%,23.12%,2.43%,15.50%,0.99%,2023/12,00596.HK,90.92億,15.000%,2.97億,3.267%,2.21億,2.431%,0.194,65.165%,2023/12,0596.HK,4142000000.0,M
00604.HK,深圳控股,090201,0.820,-0.010,-1.205%,8.13百萬,6.62百萬,無盈利,0.19,0.00%,72.97億,00604.HK,1.24,0.28,-0.15%,-0.62%,32.28%,-1.65%,-306.12%,93.09%,2023/12,00604.HK,158.32億,-49.000%,35.00億,22.107%,-2.61億,-1.651%,-0.029,N/A,2023/12,0604.HK,7297000000.0,M
00658.HK,中國高速傳動,060203,2.010,+0.010,+0.500%,61.10萬,1.22百萬,無盈利,0.37,0.00%,32.87億,00658.HK,1.35,1.05,0.23%,0.93%,14.10%,0.40%,N/A,92.42%,2023/12,00658.HK,263.93億,10.000%,15.03億,5.693%,1.05億,0.397%,0.064,-9.097%,2023/12,0658.HK,3286999999.9999995,M
00662.HK,亞洲金融,040301,4.500,0.000,0.000%,0.00,0.00,6.45,0.36,3.22%,41.59億,00662.HK,1.66,1.66,2.31%,3.23%,100.00%,14.12%,24.19%,N/A,2023/12,00662.HK,24.56億,19.000%,4.77億,19.428%,3.47億,14.116%,0.372,183.969%,2023/12,0662.HK,4159000000.0000005,M
00693.HK,陳唱國際,100302,1.620,0.000,0.000%,0.00,0.00,6.80,0.30,4.63%,32.62億,00693.HK,1.27,0.96,1.20%,2.54%,19.54%,2.03%,53.88%,76.29%,2023/12,00693.HK,138.26億,2.000%,8.58億,6.205%,2.80億,2.028%,0.139,-32.980%,2023/12,0693.HK,3261999999.9999995,M
00694.HK,北京首都機場股份,100502,1.910,-0.030,-1.546%,5.74百萬,1.10千萬,無盈利,0.61,0.00%,35.90億,00694.HK,0.22,0.21,-5.21%,-11.40%,100.00%,-37.22%,N/A,72.76%,2023/12,00694.HK,49.97億,98.000%,-15.48億,-30.988%,-18.60億,-37.222%,-0.406,53.307%,2023/12,0694.HK,3590000000.0,M
00695.HK,東吳水泥,080201,8.180,-0.120,-1.446%,30.20萬,2.46百萬,無盈利,11.66,1.66%,45.15億,00695.HK,2.32,1.69,-3.17%,-6.83%,-1.46%,-11.89%,N/A,49.12%,2023/12,00695.HK,3.07億,-17.000%,-4.39千萬,-14.303%,-3.65千萬,-11.887%,-0.066,9.589%,2023/12,0695.HK,4515000000.0,M
00696.HK,中國民航信息網絡,070203,10.470,-0.020,-0.191%,4.92百萬,5.14千萬,13.89,1.29,2.49%,97.64億,00696.HK,2.93,2.91,5.09%,6.83%,52.51%,20.03%,33.33%,5.43%,2023/12,00696.HK,76.56億,30.000%,17.59億,22.975%,15.34億,20.031%,0.526,122.108%,2023/12,0696.HK,9764000000.0,M
00710.HK,京東方精電,060105,4.520,+0.100,+2.262%,1.65百萬,7.30百萬,9.11,0.79,3.76%,35.78億,00710.HK,1.61,1.22,4.74%,10.92%,100.00%,4.42%,31.46%,14.75%,2023/12,00710.HK,109.35億,N/A,5.70億,5.295%,4.75億,4.417%,0.604,-22.959%,2023/12,0710.HK,3578000000.0,M
00737.HK,灣區發展,100503,1.920,-0.010,-0.518%,21.75萬,41.98萬,12.07,1.22,8.47%,59.17億,00737.HK,0.51,0.51,4.26%,11.12%,31.84%,55.94%,99.71%,85.15%,2023/12,00737.HK,10.36億,16.000%,8.44億,81.530%,5.79億,55.937%,0.188,84.348%,2023/12,0737.HK,5917000000.0,M
00743.HK,亞洲水泥（中國）,080201,2.250,-0.010,-0.442%,59.20萬,1.34百萬,36.95,0.19,0.00%,35.25億,00743.HK,4.92,4.65,0.52%,0.63%,14.41%,1.43%,60.29%,11.10%,2023/12,00743.HK,81.41億,-24.000%,5.41億,6.648%,1.16億,1.428%,0.075,-75.344%,2023/12,0743.HK,3525000000.0,M
00746.HK,理文化工,080101,5.740,-0.180,-3.041%,54.60萬,3.14百萬,8.48,0.75,5.84%,47.36億,00746.HK,1.29,0.60,5.70%,6.91%,26.22%,9.89%,39.09%,11.71%,2023/12,00746.HK,40.51億,-30.000%,4.93億,12.180%,4.01億,9.892%,0.486,-65.335%,2023/12,0746.HK,4736000000.0,M
00752.HK,筆克遠東,100105,2.700,-0.040,-1.460%,82.00萬,2.22百萬,7.73,1.34,7.04%,34.19億,00752.HK,1.48,1.48,4.51%,10.09%,29.85%,4.28%,48.89%,22.91%,2023/10,00752.HK,53.28億,17.000%,3.29億,6.175%,2.28億,4.281%,0.184,40.213%,2023/10,0752.HK,3419000000.0,M
