index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,ADX,DIplus,DIminus,RSI,KC_middle,KC_upper,KC_lower,KC_Width,Price_zscore,Volume_zscore,Anomaly_Score,MA_50,MA_20,Price_Above_MA50,Price_Increase_50D,Price_Increase_30D,Resistance,Above_Resistance,Breakout_Percentage,Volatility_Decrease,Volatility_Decrease_Pct,Contraction_Structure,Contraction_Count,Valid_Contractions,KC_Contraction,Volume_Contraction,Volume_Spike,Breakout_Detected,ADX_Strength,DI_Bullish,RSI_Value,Anomaly_Free,Uptrend_Requirement,Contraction_Pattern,Volume_Signature,Momentum_Confirmation,VCP,SNO
2021-03-05,1888.HK,14.5,16.15999984741211,14.260000228881836,15.779999732971191,11.82904052734375,27981771,0.0,0.0,24.378376890596915,28.735638877519843,12.787354333442607,61.439584560923166,14.084309022709082,15.822308938785742,12.346309106632422,24.67994579321379,2.0209549973841145,2.354500065236315,1,13.30880002975464,13.946000051498412,True,38.90845255172109,17.937216726478013,15.640000343322754,False,0.895136742808372,-2.8%,-2.837917816964919,True,2,True,True,False,True,True,True,True,61.4,True,True,True,True,True,True,1888.HK
2021-04-08,1888.HK,18.799999237060547,19.200000762939453,18.200000762939453,18.440000534057617,13.82303524017334,19539653,0.0,0.0,29.434723853914697,34.88024641345993,19.46108119973088,63.14102848213956,16.39247222106494,18.404472018885983,14.380472423243894,24.54785063153012,1.9067386789523308,1.0805095741383923,1,14.820800037384034,16.406000089645385,True,37.40685863803655,34.598545918131165,18.13999938964844,True,1.6538101130277396,-24.0%,-24.037597698251567,True,2,True,True,False,True,True,True,True,63.1,True,True,True,True,True,True,1888.HK
2025-02-26,1888.HK,8.739999771118164,10.100000381469728,8.739999771118164,9.729999542236328,9.127763748168944,32819499,0.0,0.0,50.22216359019789,44.927537415531845,6.719375485436145,71.9999856387916,8.421403427001634,9.333403653976122,7.509403200027147,21.65910313832803,2.702931017069429,3.294150252910125,1,7.682399978637695,8.308500003814697,True,35.704315742010486,36.65729913803646,9.270000457763672,True,4.9622336759153525,1.4%,1.442959045030201,True,2,True,True,False,True,True,True,True,72.0,True,True,True,True,True,True,1888.HK
2007-08-27,1898.HK,14.600000381469728,15.0,14.5600004196167,14.859999656677246,8.236658096313477,69975425,0.0,0.0,29.458076169307127,36.89024079987692,34.298783280110726,60.31746272026924,13.7392393914303,15.573239406689089,11.90523937617151,26.69725685692218,1.451025285654298,0.9994637537834752,1,13.699600009918212,13.635999917984009,True,30.12258806831517,-0.9333356221516927,14.920000076293944,False,-0.4021475825059195,-16.2%,-16.18177215913127,True,2,True,True,False,True,True,True,True,60.3,True,True,True,True,True,True,1898.HK
2020-12-18,1898.HK,2.319999933242798,2.450000047683716,2.319999933242798,2.4100000858306885,1.7825751304626465,53480070,0.0,0.0,41.545048803041205,29.74685377999096,15.82278557416628,61.53847161533153,2.25242677039738,2.4644267351114304,2.040426805683329,18.824138258368222,2.241874058739336,2.7064143216390777,1,2.098599984645844,2.2759999871253966,True,28.191494252305063,21.10553137091281,2.4200000762939453,False,-0.4132227333881367,-30.6%,-30.601882594670748,True,2,True,True,False,True,True,True,True,61.5,True,True,True,True,True,True,1898.HK
2020-12-21,1898.HK,2.4800000190734863,2.5199999809265137,2.440000057220459,2.509999990463257,1.8565407991409304,50157012,0.0,0.0,40.51631408080451,33.128849162207295,15.337424479446629,63.54167572119808,2.2769575532607966,2.4869574960403376,2.066957610481256,18.44566162235244,2.830010641149994,2.19524297276972,1,2.1119999837875367,2.290999984741211,True,36.41304048535284,24.87562200857334,2.450000047683716,True,2.4489772086439867,-32.6%,-32.56293209337508,True,2,True,True,False,True,True,True,True,63.5,True,True,True,True,True,True,1898.HK
2022-09-22,1898.HK,7.409999847412109,7.989999771118164,7.369999885559082,7.920000076293945,6.360547065734863,32999285,0.0,0.0,44.92098945929968,32.95455124259968,13.86363909756836,65.95744421817793,7.302730565391306,7.979730611167673,6.6257305196149385,18.541011193395747,2.07908387307826,1.952874542404071,1,6.741800022125244,7.401000046730042,True,25.118486125620453,27.126806613907405,7.829999923706055,True,1.1494272473158875,-9.8%,-9.804039774104789,True,2,True,True,False,True,True,True,True,66.0,True,True,True,True,True,True,1898.HK
2024-02-22,1898.HK,8.800000190734863,9.260000228881836,8.720000267028809,9.149999618530272,7.922160148620605,37227019,0.0,0.0,43.57584085550296,29.323311864904262,8.020066838471465,67.66463577943979,8.461208542194978,9.128208502140655,7.794208582249299,15.766068325096455,2.0835386366864705,1.0137409378512945,1,7.686000013351441,8.560999989509583,True,34.55881414528973,22.16288248516582,9.09000015258789,False,0.6600601202993314,-30.5%,-30.523129457972345,True,2,True,True,True,True,True,True,True,67.7,True,True,True,True,True,True,1898.HK
2012-05-02,1913.HK,53.0,57.29999923706055,53.0,54.84999847412109,49.54090881347656,4776196,0.0,0.0,29.57242002648005,37.77776212773772,5.811968420305798,70.29702521553041,51.09788842752355,55.41788812234777,46.77788873269933,16.908720997156816,2.46657241551632,1.8596081945274097,1,48.049000091552735,51.37750034332275,True,28.30408999794406,12.397539614029222,54.79999923706055,False,0.0912394849573755,-0.7%,-0.669424567814958,True,2,True,True,False,True,True,True,True,70.3,True,True,True,True,True,True,1913.HK
2012-12-12,1913.HK,69.0,72.55000305175781,68.80000305175781,71.44999694824219,64.60482788085938,5697259,0.0,0.0,28.55302292781452,48.936200145499534,9.042549018175537,74.84661643436802,65.57835146408327,69.35835176925906,61.79835115890749,11.528195573034685,2.2548392001165647,1.369104689199362,1,62.8060001373291,64.65499992370606,True,23.402409439155186,13.053791274857929,71.25,False,0.2806974712171052,25.5%,25.480559044895323,True,2,True,True,False,True,True,True,True,74.8,True,True,True,True,True,True,1913.HK
