Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,T1_150,medium_bullish,weak_bullish,Capital Gains,buy_price,tp1_price,tp2_price,SNO
2025-08-19,0104.HK,0.270000010728836,0.2800000011920929,0.270000010728836,0.270000010728836,0.2427249252796173,1275000,0.0,0.0,0.2331486554804537,0.2276869514474751,0.2199040368982151,0.2114130090309167,0.1959763638028673,True,True,HH,HHHLLL,0.2549999952316284,2025-08-21,0.2399999946355819,2025-09-02,0.2300000041723251,0.2460000067949295,TP1-2025/07/15,False,True,False,False,False,False,0.0,0,0,False,False,,,,,,,104.HK
2010-03-09,1045.HK,1.3111109733581543,1.3111109733581543,1.2222219705581665,1.2888879776000977,0.6329737305641174,546750,0.0,0.0,0.6333348886428929,0.628681206373147,0.6189383594502357,0.5659367970316778,0.4407645348475305,True,True,,,0.0,,0.0,,0.0,0.0,BY1-2010/02/12,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1045.HK
2010-03-26,1045.HK,1.3111109733581543,1.7288880348205566,1.284443974494934,1.613332986831665,0.792309045791626,15539625,0.0,0.0,0.6553097429226576,0.6384979709316243,0.6262008092156859,0.5816761500209388,0.4597960807929989,True,True,HH,HHHLHH,1.368888020515442,2010-04-12,1.773332953453064,2010-04-15,1.831110954284668,1.266666054725647,TP2-2010/02/12,False,True,True,False,False,False,0.0,0,0,False,False,,,,,,,1045.HK
2021-07-20,1045.HK,2.430000066757202,2.440000057220459,2.3499999046325684,2.390000104904175,1.6755698919296265,910000,0.0,0.0,1.6931770988895398,1.6762111702524274,1.6663994767610115,1.618566316495728,1.5558075771663946,True,True,,,0.0,,0.0,,0.0,0.0,BY1-2021/06/23,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1045.HK
2021-07-27,1045.HK,2.319999933242798,2.359999895095825,2.200000047683716,2.2100000381469727,1.5493762493133545,2702000,0.0,0.0,1.6491933979794924,1.6598328038783323,1.6606976219106324,1.620257148513049,1.5589975232654354,False,False,LL,LLLHHL,2.4200000762939453,2021-08-02,2.3299999237060547,2021-08-06,2.309999942779541,2.200000047683716,CL1-2021/06/23,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,1045.HK
2021-09-15,1045.HK,2.470000028610229,2.5,2.390000104904175,2.4100000858306885,1.689591407775879,3070000,0.0,0.0,1.745690604940885,1.7218191602896515,1.6918889592732276,1.6566267838544777,1.5904750689444878,True,True,,,0.0,,0.0,,0.0,0.0,BY1-2021/08/16,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1045.HK
2021-12-06,1045.HK,2.259999990463257,2.2699999809265137,2.200000047683716,2.2300000190734863,1.589784026145935,1550000,0.0,0.0,1.6192135173576672,1.6262758637267107,1.6408750116275854,1.6450103118411668,1.6085718380912497,False,False,LL,LLLHHH,2.299999952316284,2021-12-09,2.299999952316284,2021-12-29,2.309999942779541,2.200000047683716,CL1-2021/08/16,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,1045.HK
2024-10-08,1045.HK,2.5,2.5199999809265137,2.25,2.2799999713897705,2.179269552230835,3294000,0.0,0.0,2.116419926338692,2.0491443557480307,2.0141592421949075,2.0005757544975262,1.9698299685973892,True,True,,,0.0,,0.0,,0.0,0.0,BY1-2024/09/04,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1045.HK
2025-03-14,1045.HK,1.899999976158142,1.950000047683716,1.809999942779541,1.9299999475479128,1.844732403755188,12782501,0.0,0.0,2.0756054200798,2.0934676583385707,2.0893672837997586,2.0741463446953534,2.032183212490518,False,False,LL,LLLLLH,1.7200000286102295,2025-04-07,1.919999957084656,2025-04-11,1.9900000095367432,1.7899999618530271,CL1-2024/09/04,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,1045.HK
2008-06-30,1046.HK,6.8873138427734375,6.8873138427734375,5.069063186645508,5.344554901123047,2.372819662094116,1642694,0.0,0.0,3.2896737425295464,2.966170060291358,2.7247683508004674,2.7803057296615163,3.181479754059023,False,True,,,0.0,,0.0,,0.0,0.0,BY1-2008/05/14,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1046.HK
2008-09-12,1046.HK,3.8568949699401855,3.967092037200928,3.8017969131469727,3.967092037200928,1.761268138885498,55083,0.0,0.0,2.137332930266877,2.3206194192261407,2.440561398434903,2.546200678217032,2.925220467218866,False,False,,,0.0,,0.0,,0.0,0.0,CL1-2008/05/14,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,1046.HK
