Date,sno,Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA1,EMA2,T1_22,T1_10,EMA100,EMA250
2025-10-07,NEWTP,24.0,24.09000015258789,23.834999084472656,23.979999542236328,9700,0.0,0.0,23.97602280254883,23.88575537811539,23.857527298612805,False,True,True,True,,
2025-10-07,NEWTH,25.049999237060547,25.190000534057617,25.049999237060547,25.059999465942383,17100,0.0,0.0,25.04176805825377,25.022044853402985,24.99835029060097,False,True,True,True,24.96788924705372,25.007479170080533
2025-10-07,MLAC,10.515000343322754,10.515000343322754,10.43000030517578,10.449999809265137,502600,0.0,0.0,10.381534993698423,10.336452145444438,10.28152559137798,False,True,True,True,10.208301642537466,
2025-10-07,MKLYU,10.050000190734863,10.0649995803833,10.050000190734863,10.0649995803833,14600,0.0,0.0,10.019013852697222,10.00464976939752,9.99417605647236,False,True,True,True,,
2025-10-07,METCI,25.959999084472656,25.979999542236328,25.850000381469727,25.950000762939453,5400,0.0,0.0,25.751366289545157,25.636588063302007,25.415823001775827,False,True,True,True,,
2025-10-07,MBVIU,10.119999885559082,10.199999809265137,10.119999885559082,10.1850004196167,16700,0.0,0.0,10.128048323292196,10.093650460103945,10.055314686745824,False,True,True,True,,
2025-10-07,MAYA,10.270000457763672,10.270000457763672,10.270000457763672,10.270000457763672,2100,0.0,0.0,10.248801936271398,10.227224827345356,10.176219581510104,False,True,True,True,10.101649502915604,
2025-10-07,LAKE,15.5,15.5,14.90999984741211,15.300000190734863,129800,0.0,0.0,15.076371738556231,14.934624290827411,14.904999859540183,False,True,False,True,15.53686964711618,17.299118719477086
2025-10-07,KTCC,3.3299999237060547,3.430000066757202,3.3299999237060547,3.3299999237060547,5400,0.0,0.0,3.436150733395646,3.385785658556279,3.2261985182699777,False,True,False,True,3.131980678206857,3.4165307712968573
2025-10-07,KOYNU,10.270000457763672,10.270000457763672,10.109999656677246,10.149999618530272,14800,0.0,0.0,10.120042253467556,10.097335938959686,10.06334378296307,False,True,True,True,,
2025-10-07,KCHV,10.06999969482422,10.06999969482422,10.06999969482422,10.06999969482422,10100,0.0,0.0,10.04388276638884,10.03457196398046,10.028385898391956,False,True,True,True,10.025046915823904,
2025-10-07,INACU,10.119999885559082,10.119999885559082,10.119999885559082,10.119999885559082,700,0.0,0.0,10.108857882333472,10.098524179867317,10.082219918720185,False,True,True,True,10.061722171089766,
2025-10-07,INAC,9.96399974822998,9.975000381469728,9.96399974822998,9.975000381469728,4800,0.0,0.0,9.964307018254736,9.96023449316658,9.950712296362097,False,True,True,True,,
2025-10-07,HVMCU,10.06999969482422,10.06999969482422,10.06999969482422,10.06999969482422,400,0.0,0.0,10.084373698678242,10.071857216384911,10.050827119907211,False,True,True,True,,
2025-10-07,HSPTU,10.479999542236328,10.479999542236328,10.479999542236328,10.479999542236328,114,0.0,0.0,10.47565836748968,10.444951927103974,10.37319196116696,False,True,True,True,10.277281360926116,
2025-10-07,HCMAU,10.380000114440918,10.380000114440918,10.34000015258789,10.380000114440918,13400,0.0,0.0,10.340558660985105,10.285451924596291,10.215193229183056,False,True,True,True,,
2025-10-07,GTERU,10.229999542236328,10.574999809265137,10.220000267028809,10.303999900817873,9600,0.0,0.0,10.226699261162826,10.204770570356445,10.175730890037968,False,True,True,True,10.138667252993368,
2025-10-07,GTERA,9.984000205993652,10.020000457763672,9.984000205993652,10.020000457763672,4000,0.0,0.0,9.99070533139993,9.980617498203816,9.970736236611168,False,True,True,True,9.963344050529663,
2025-10-07,GTEN,10.28499984741211,10.4399995803833,10.28499984741211,10.4399995803833,673000,0.0,0.0,10.271361990971563,10.238834367955064,10.227628626148984,False,True,True,True,10.2334679578557,
2025-10-07,FIGXU,10.100000381469728,10.13599967956543,10.100000381469728,10.119999885559082,55400,0.0,0.0,10.090762041520804,10.079789820599771,10.061821647878288,False,True,True,True,10.042264263648164,
2025-10-07,FERA,10.17199993133545,10.17199993133545,10.17199993133545,10.17199993133545,200,0.0,0.0,10.168158246782278,10.162789459351542,10.143746173521516,False,True,True,True,10.091132884816853,
