Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,T1_22,T1_50,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,BOSS1
2025-09-18,1302.HK,1.8899999856948853,1.919999957084656,1.8600000143051147,1.8799999952316284,1.8799999952316284,28178000,0.0,0.0,1.8934098970625373,1.942338600091571,1.9442123649085503,1.862544579703056,1.7583156627493353,False,False,False,False,LH,LHLLHH,1.7400000095367432,2025-09-29,2.309999942779541,2025-10-08,True
2025-09-24,1263.HK,6.059999942779541,6.25,6.059999942779541,6.119999885559082,6.119999885559082,1288000,0.0,0.0,6.166804700885965,6.296518307780981,6.528253105844718,6.653904134465664,6.1267891778110295,False,False,False,False,LH,LHLLHH,5.78000020980835,2025-09-29,7.099999904632568,2025-10-09,True
2025-09-30,1071.HK,4.199999809265137,4.230000019073486,4.170000076293945,4.190000057220459,4.09158992767334,10881033,0.0,0.0,4.161105343130718,4.230331582092083,4.252888533717042,4.218196354801988,4.049673590435486,False,False,False,False,LH,LHLLHH,4.050000190734863,2025-10-02,4.369999885559082,2025-10-16,True
2025-09-18,1066.HK,5.920000076293945,6.059999942779541,5.849999904632568,5.980000019073486,5.980000019073486,27817814,0.0,0.0,5.889090020169905,6.04774150450052,6.204497864277049,6.0691562371374665,5.687372755676907,False,False,False,False,LH,LHLLHH,5.519999980926514,2025-09-26,6.28000020980835,2025-10-08,True
2025-10-02,999.HK,10.550000190734863,10.550000190734863,9.93000030517578,9.93000030517578,9.93000030517578,224189,0.0,0.0,10.391150980013355,10.651600308433885,10.51609176734335,10.10425558989574,9.50107545073078,False,False,False,False,LH,LHLLHH,9.600000381469728,2025-10-06,10.619999885559082,2025-10-10,True
2025-10-02,902.HK,5.420000076293945,5.519999980926514,5.349999904632568,5.389999866485596,5.389999866485596,22707661,0.0,0.0,5.574419546091736,5.665311519003592,5.559171942538304,5.27650556348578,4.803041911350744,False,False,False,False,LH,LHLLHH,5.309999942779541,2025-10-08,5.900000095367432,2025-10-16,True
2025-09-17,551.HK,13.260000228881836,13.390000343322754,13.130000114440918,13.1899995803833,13.1899995803833,1833250,0.0,0.0,13.056606572281014,12.995996140265111,12.63810870264184,12.322096283886223,12.110639687400983,True,True,False,False,LH,LHLLHH,12.479999542236328,2025-09-25,13.489999771118164,2025-10-03,True
2025-09-17,325.HK,94.5500030517578,98.3000030517578,94.1500015258789,96.5500030517578,96.5500030517578,1295529,0.0,0.0,96.34304252783562,101.645598423789,112.35464446404276,118.80971938773504,112.5452656924137,False,False,False,False,LH,LHLLHH,86.3499984741211,2025-09-29,108.0,2025-10-15,True
2025-10-02,148.HK,27.799999237060547,28.100000381469727,27.479999542236328,27.86000061035156,27.86000061035156,2351100,0.0,0.0,27.25969398778353,27.381251466911078,27.19326089784865,25.89716867511362,22.86013791538628,False,False,False,False,LH,LHLLHH,25.600000381469727,2025-10-13,28.18000030517578,2025-10-16,True
2025-09-16,41.HK,14.800000190734863,14.920000076293944,14.770000457763672,14.869999885559082,14.448956489562988,484000,0.0,0.0,14.222713787155998,14.13374153332544,14.001097546126791,13.519805718929543,12.428943153361791,True,True,False,False,LH,LHLLHH,13.539999961853027,2025-09-26,14.979999542236328,2025-10-06,True
