股票編號,股票名稱,行業編號,現價#,升跌,升跌(%),成交量,成交額,市盈率,市賬率,收益率,市值,股票編號_df4,流動比率,速動比率,資產回報率,股本回報率,毛利率,邊際利潤率,派息比率,債務股本比率,截至,股票編號_df6,收入,年度收入增長,經營溢利,經營利益率,股東應佔溢利,邊際利潤率_df6,每股盈利,每股盈利年度增長,截至_df6,sno,數字市值,type
00179.HK,德昌電機控股,020102,23.300,+0.360,+1.569%,4.25百萬,9.97千萬,10.50,1.05,2.62%,217.72億,00179.HK,1.95,1.47,5.43%,8.98%,22.30%,6.01%,31.40%,24.87%,2024/03,00179.HK,298.46億,4.000%,22.33億,7.480%,17.94億,6.010%,1.943,42.047%,2024/03,0179.HK,21772000000.0,L
00220.HK,統一企業中國,020205,7.870,-0.010,-0.127%,7.15百萬,5.60千萬,14.90,2.25,6.71%,339.93億,00220.HK,0.95,0.69,7.53%,12.46%,30.47%,5.83%,109.97%,8.07%,2023/12,00220.HK,313.42億,-1.000%,21.89億,6.983%,18.27億,5.831%,0.423,32.539%,2023/12,0220.HK,33993000000.0,L
00241.HK,阿里健康,050202,4.660,-0.030,-0.640%,6.89千萬,3.21億,48.75,4.29,0.00%,753.77億,00241.HK,2.69,2.41,4.48%,6.07%,21.81%,3.27%,N/A,0.56%,2024/03,00241.HK,291.51億,-4.000%,10.21億,3.502%,9.53億,3.269%,0.068,49.511%,2024/03,0241.HK,75377000000.0,L
00247.HK,尖沙咀置業,090204,19.350,0.000,0.000%,0.00,0.00,17.87,0.43,3.00%,431.86億,00247.HK,9.06,7.04,1.38%,2.64%,38.97%,28.45%,48.33%,0.96%,2024/06,00247.HK,88.16億,-26.000%,43.41億,49.240%,25.08億,28.448%,1.200,-25.466%,2024/06,0247.HK,43186000000.0,L
00257.HK,光大環境,120105,5.370,-0.080,-1.468%,1.21千萬,6.47千萬,8.40,0.63,5.03%,329.88億,00257.HK,1.14,1.12,2.34%,9.20%,43.04%,13.80%,30.51%,196.56%,2023/12,00257.HK,320.90億,-14.000%,105.16億,32.771%,44.29億,13.802%,0.721,-3.751%,2023/12,0257.HK,32988000000.0,L
00267.HK,中信股份,010101,11.820,+0.020,+0.169%,2.22千萬,2.62億,5.56,0.43,5.09%,"3,438.47億",00267.HK,0.86,0.84,0.51%,8.19%,45.24%,8.46%,26.01%,248.93%,2023/12,00267.HK,"7,463.28億",-3.000%,"1,289.04億",17.272%,631.35億,8.459%,2.170,-16.198%,2023/12,0267.HK,343847000000.0,L
00268.HK,金蝶國際,070203,8.570,+0.070,+0.824%,4.21千萬,3.59億,291.50,3.33,0.00%,304.19億,00268.HK,1.26,1.25,-1.48%,-2.44%,64.17%,-3.70%,N/A,9.79%,2023/12,00268.HK,62.25億,13.000%,-4.60億,-7.395%,-2.30億,-3.696%,-0.067,47.848%,2023/12,0268.HK,30419000000.0,L
00270.HK,粵海投資,120103,7.820,+0.330,+4.406%,3.30千萬,2.57億,16.27,1.23,4.00%,511.26億,00270.HK,1.21,0.48,2.23%,7.47%,41.63%,12.90%,65.01%,102.95%,2023/12,00270.HK,242.00億,4.000%,44.11億,18.226%,31.22億,12.901%,0.478,-34.463%,2023/12,0270.HK,51126000000.0,L
00285.HK,比亞迪電子,070306,27.600,-1.520,-5.220%,3.02千萬,8.36億,13.71,1.81,2.25%,621.88億,00285.HK,1.00,0.66,4.63%,13.78%,8.03%,3.11%,30.06%,56.22%,2023/12,00285.HK,"1,424.59億",17.000%,51.31億,3.602%,44.30億,3.110%,1.962,112.120%,2023/12,0285.HK,62188000000.0,L
00288.HK,萬洲國際,020701,10.260,+0.060,+0.588%,4.21千萬,4.33億,10.79,1.51,8.87%,"1,316.38億",00288.HK,1.57,0.93,3.28%,6.40%,19.53%,2.40%,78.38%,37.82%,2023/12,00288.HK,"2,049.29億",-6.000%,82.87億,4.044%,49.13億,2.397%,0.383,-54.102%,2023/12,0288.HK,131638000000.00002,L
00290.HK,國富量子,040202,4.880,+0.430,+9.663%,1.52千萬,7.14千萬,無盈利,9.27,0.00%,502.83億,00290.HK,2.97,2.97,-2.81%,-3.90%,100.00%,-62.03%,N/A,3.05%,2024/03,00290.HK,4.95千萬,83.000%,-2.82千萬,-56.921%,-3.07千萬,-62.033%,-0.009,67.958%,2024/03,0290.HK,50283000000.0,L
00291.HK,華潤啤酒,020204,25.640,+0.300,+1.184%,1.78千萬,4.58億,22.17,2.32,4.41%,831.81億,00291.HK,0.70,0.31,7.20%,17.01%,41.36%,13.24%,58.87%,17.45%,2023/12,00291.HK,426.77億,7.000%,77.59億,18.180%,56.49億,13.236%,1.743,15.301%,2023/12,0291.HK,83181000000.0,L
00293.HK,國泰航空,100501,11.220,-0.110,-0.971%,2.09千萬,2.33億,6.78,1.26,7.49%,682.30億,00293.HK,0.50,0.48,5.21%,15.11%,100.00%,9.60%,30.54%,113.77%,2023/12,00293.HK,944.85億,85.000%,151.25億,16.008%,90.67億,9.596%,1.408,N/A,2023/12,0293.HK,68229999999.99999,L
00300.HK,美的集團,020402,83.800,+5.350,+6.820%,1.16千萬,9.67億,14.49,2.77,4.55%,545.41億,00300.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,00300.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0300.HK,54541000000.0,L
