index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,F10D,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,LLLow,HHClose,HHHigh,VOLATILITY,22DLow,33DLow,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,WLow,WHigh,HHHL,ADX,DIplus,DIminus,RSI,KC_middle,KC_upper,KC_lower,KC_Width,Price_zscore,Volume_zscore,Anomaly_Score,MA_50,MA_20,Price_Above_MA50,Price_Increase_50D,Price_Increase_30D,Resistance,Above_Resistance,Breakout_Percentage,Volatility_Decrease,Volatility_Decrease_Pct,Contraction_Structure,Contraction_Count,Valid_Contractions,KC_Contraction,Volume_Contraction,Volume_Spike,Breakout_Detected,ADX_Strength,DI_Bullish,RSI_Value,Anomaly_Free,Uptrend_Requirement,Contraction_Pattern,Volume_Signature,Momentum_Confirmation,VCP,classification,BOSS_PATTERN,LLDate,HHDate,HHHL_PATTERN,WLDate,WHDate,SNO
2026-02-13,2689.HK,9.619999885559082,9.800000190734863,9.470000267028809,9.56999969482422,9.56999969482422,15140502,0.0,0.0,9.56999969482422,8.979927968301556,8.274702876957685,7.392605969634757,6.57270851177353,5.350541151468312,True,True,True,False,0.3299999237060547,0.308235336752499,0.4623530051287484,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,57.82193311631884,52.11726187050794,7.003254685488219,90.44367984147532,8.370842657363031,9.12984267262182,7.611842642104242,18.13437538671615,1.506727882668698,0.1151856172258172,1,7.068000011444092,8.145000004768372,True,52.388525081216095,60.03343920234556,9.779999732971191,False,-2.1472397124817943,-11.9%,-11.94883808424374,False,1,False,False,False,False,False,True,True,90.4,True,True,False,False,False,False,,,,,,,,2689.HK
2026-02-13,0027.HK,42.31999969482422,43.0,42.31999969482422,43.0,43.0,5300481,0.0,0.0,43.0,42.6639042357204,41.80035395597637,40.79037200311526,39.94198090954951,38.20187929194232,True,True,True,False,0.6800003051757812,0.8712499141693106,1.306874871253966,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,32.73629139914784,24.280346225396944,20.650823346414217,55.99999461455228,41.92344053089934,43.96144063771087,39.88544042408782,9.72248499170497,0.9399408062766946,1.076474449182887,1,40.18359985351562,41.8689998626709,True,6.858842461256982,11.283645650159084,44.0,False,-2.272727272727273,-4.5%,-4.49189054476582,False,1,False,False,False,False,False,True,True,56.0,True,False,False,False,True,False,,,,,,,,27.HK
2026-02-13,0270.HK,7.519999980926514,7.619999885559082,7.420000076293945,7.599999904632568,7.599999904632568,6582988,0.0,0.0,7.599999904632568,7.500852703809942,7.352447131340403,7.244913063865019,7.172594686086334,6.784846736987791,True,True,True,False,0.1999998092651367,0.1423529456643497,0.2135294184965245,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,57.24886977618776,29.4605785320026,10.788389788405022,75.00001146243736,7.3711536970306994,7.69315372373358,7.049153670327819,8.736760619510381,1.102437230867764,1.0783059338724563,1,7.13979998588562,7.312499976158142,True,1.6042765408167188,11.111107238164818,7.650000095367432,False,-0.653597256360057,8.8%,8.783831264283348,False,1,False,False,False,False,False,True,True,75.0,True,False,False,False,False,False,,,,,,,,270.HK
2026-02-13,0288.HK,9.75,9.890000343322754,9.640000343322754,9.890000343322754,9.890000343322754,47539375,0.0,0.0,9.890000343322754,9.593230060434102,9.313161759271482,8.958158141785693,8.605119469226262,7.859322097298897,True,True,True,False,0.25,0.2011112107170955,0.3016668160756433,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,67.98604487458682,32.704378561656185,3.773578681375169,80.76922371542841,9.350698556801571,9.79869870176007,8.902698411843076,9.5821748982086,1.567770121762191,1.958847541076244,1,8.881200065612793,9.25149998664856,True,21.49877059201264,13.678167358007482,9.850000381469728,False,0.4060909675524005,1.9%,1.8646453069865787,False,1,False,False,False,True,True,True,True,80.8,True,True,False,True,False,False,,,,,,,,288.HK
2026-02-13,0293.HK,12.949999809265137,12.949999809265137,12.739999771118164,12.850000381469728,12.850000381469728,3472281,0.0,0.0,12.850000381469728,12.743307074491804,12.595768907492028,12.342271010053247,11.936410574343943,11.068843621487082,True,True,True,False,0.2100000381469726,0.2299999131096727,0.3449998696645091,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,28.630053710455098,23.100288885139868,12.765934627200313,57.29730064107454,12.61495401635316,13.101953909541637,12.127954123164685,7.720993553478863,1.21662799044502,1.289968077238419,1,12.37620002746582,12.547999954223632,True,6.55057988694612,1.7418865006760054,13.0,False,-1.1538432194636283,-1.5%,-1.481122286241365,False,1,False,False,False,False,False,True,True,57.3,True,False,False,False,True,False,,,,,,,,293.HK
2026-02-13,0003.HK,7.650000095367432,7.670000076293945,7.619999885559082,7.630000114440918,7.630000114440918,15519700,0.0,0.0,7.630000114440918,7.553160979676035,7.444285386405357,7.322051351757408,7.212788000304768,6.953764731739982,True,True,True,False,0.0500001907348632,0.0920000076293945,0.1380000114440918,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,66.74897691236836,29.166692684577207,8.928608934909999,63.55140395159968,7.459277616341845,7.677277551491992,7.241277681191699,5.845068285769401,1.2360243307875436,0.9367358534274156,1,7.246000032424927,7.435000014305115,True,5.386745243812642,7.313642351079433,7.699999809265137,False,-0.9090869682878512,-6.7%,-6.661181255493364,False,1,False,False,False,False,False,True,True,63.6,True,False,False,False,True,False,,,,,,,,3.HK
2026-02-13,0300.HK,90.8000030517578,91.5,89.69999694824219,90.25,90.25,4920727,0.0,0.0,90.25,88.86017811695997,87.84654488106275,87.17908990645364,85.87493285563832,83.55955447774838,True,True,True,False,1.8000030517578125,2.0026325426603613,4.005265085320723,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,25.46120747266133,28.522913562234088,8.828539985782651,71.24463322567046,87.94071686921905,91.97071870027374,83.91071503816435,9.16526945543986,1.542606656125887,1.5161275684589128,1,87.61000015258789,87.20000076293945,True,1.977401129943503,1.0638263334566451,90.8000030517578,False,-0.6057302128550432,-7.6%,-7.581281791977323,False,1,False,False,False,True,True,True,True,71.2,True,False,False,True,True,False,,,,,,,,300.HK
2026-02-13,0322.HK,12.960000038146973,13.039999961853027,12.84000015258789,12.899999618530272,12.899999618530272,7082851,0.0,0.0,12.899999618530272,12.622629428466738,12.357623898644556,12.091344837726616,11.871763078809783,11.641953572620976,True,True,True,False,0.1999998092651367,0.3144445419311526,0.4716668128967289,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,25.024856469396013,30.371879697559184,3.3058009197438265,74.80311708596386,12.388279771670604,13.078279828891064,11.698279714450145,11.139562068953984,1.4756341507300452,0.7204539250598219,1,12.061399936676024,12.252999925613402,True,8.130756819290793,10.162250866837812,13.0,False,-0.7692337036132949,-22.2%,-22.150258216158047,False,1,False,False,False,False,False,True,True,74.8,True,False,False,False,True,False,,,,,,,,322.HK
2026-02-13,3323.HK,6.28000020980835,6.409999847412109,6.099999904632568,6.239999771118164,6.239999771118164,50368684,0.0,0.0,6.239999771118164,5.882110991199781,5.6036455704929455,5.400137903325032,5.263817427151508,4.793401489610663,True,True,True,False,0.309999942779541,0.2649999856948852,0.3974999785423279,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,38.42361286506325,38.72255794880444,17.764478789834822,63.49692798368808,5.636065891880417,6.282065895695114,4.99006588806572,22.923791744356823,1.629134037748228,0.2105847075896789,1,5.223999996185302,5.533500027656555,True,19.31165866847555,21.4007769106165,6.510000228881836,False,-4.147472323669141,-37.1%,-37.08025901080907,False,1,False,False,False,False,False,True,True,63.5,True,False,False,False,True,False,,,,,,,,3323.HK
2026-02-13,3330.HK,24.0,24.18000030517578,23.36000061035156,23.76000022888184,23.76000022888184,7189352,0.0,0.0,23.76000022888184,23.575965900225672,22.91838506308229,21.21519020892968,19.006756535382387,14.429315245969796,True,True,True,False,0.8199996948242223,1.216470381792854,1.824705572689281,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,23.60253391029673,24.849535905723467,39.89682274675322,44.67496640703764,23.04642377312977,26.242423300107312,19.85042424615223,27.73531857644493,0.0958098259392831,0.6927331280911441,1,20.63199993133545,23.623999881744385,True,45.05495388419694,25.847464433452288,26.89999961853028,False,-11.67286035009987,-20.9%,-20.90765872389053,False,1,False,False,False,False,False,True,False,44.7,True,True,False,False,False,False,,,,,,,,3330.HK
