股票編號,股票名稱,行業編號,現價#,升跌,升跌(%),成交量,成交額,市盈率,市賬率,收益率,市值,股票編號_df4,流動比率,速動比率,資產回報率,股本回報率,毛利率,邊際利潤率,派息比率,債務股本比率,截至,股票編號_df6,收入,年度收入增長,經營溢利,經營利益率,股東應佔溢利,邊際利潤率_df6,每股盈利,每股盈利年度增長,截至_df6,sno,數字市值
02382.HK,舜宇光學科技,070306,69.050,-0.900,-1.287%,7.48百萬,5.15億,26.16,2.87,0.77%,755.96億,02382.HK,1.65,1.41,2.19%,4.90%,14.49%,3.47%,19.84%,25.78%,2023/12,02382.HK,347.29億,-7.000%,14.64億,4.216%,12.05億,3.470%,1.104,-55.565%,2023/12,2382.HK,75596000000.0
03773.HK,銀盛數惠,070306,1.670,+0.010,+0.602%,2.40萬,4.00萬,20.39,2.09,0.00%,6.93億,03773.HK,3.30,3.20,3.96%,5.85%,81.10%,17.96%,N/A,11.40%,2023/12,03773.HK,9.98千萬,2.000%,2.72千萬,27.221%,1.79千萬,17.964%,0.043,-41.726%,2023/12,3773.HK,693000000.0
03997.HK,電訊首科,070306,0.730,0.000,0.000%,2.20萬,1.61萬,無盈利,1.72,5.48%,9.37千萬,03997.HK,2.48,2.13,-10.72%,-12.97%,20.69%,-16.87%,N/A,9.55%,2024/03,03997.HK,5.44千萬,5.000%,-9.23百萬,-16.978%,-9.17百萬,-16.868%,-0.072,-29.061%,2024/03,3997.HK,93699999.99999999
06133.HK,維太創科,070306,0.248,-0.002,-0.800%,3.00萬,7.06千,無盈利,0.41,0.00%,2.11億,06133.HK,5.00,4.99,-3.31%,-4.14%,0.36%,-2.49%,N/A,6.75%,2023/12,06133.HK,9.16億,-25.000%,-2.29千萬,-2.495%,-2.28千萬,-2.494%,-0.027,-15.569%,2023/12,6133.HK,211000000.0
06188.HK,迪信通,070306,0.490,+0.010,+2.083%,2.75萬,1.21萬,無盈利,N/A,0.00%,2.69億,06188.HK,0.98,0.94,-7.56%,-892.26%,4.56%,-3.67%,N/A,"5,920.27%",2023/12,06188.HK,187.95億,23.000%,-7.20億,-3.831%,-6.91億,-3.675%,-0.921,-114.802%,2023/12,6188.HK,269000000.0
81810.HK,小米集團－ＷＲ,070306,38.760,-0.960,-2.417%,16.98萬,6.60百萬,55.37,5.93,0.00%,"10,093.94億",81810.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,81810.HK,"2,709.70億",-3.000%,200.09億,7.384%,174.75億,6.449%,0.700,600.000%,2023/12,81810.HK,1009394000000.0
00438.HK,彩虹新能源,060107,2.350,-0.010,-0.424%,6.10千,1.44萬,無盈利,0.26,0.00%,2.26億,00438.HK,0.75,0.70,-2.61%,-12.84%,6.92%,-7.34%,N/A,230.42%,2023/12,00438.HK,34.48億,23.000%,-2.47億,-7.160%,-2.53億,-7.343%,-1.436,N/A,2023/12,0438.HK,225999999.99999997
00475.HK,中發展控股,060107,0.445,0.000,0.000%,0.00,0.00,無盈利,N/A,0.00%,1.83億,00475.HK,1.35,1.27,-11.97%,-788.27%,4.10%,-16.47%,N/A,"1,641.99%",2024/03,00475.HK,1.89億,-23.000%,-3.01千萬,-15.968%,-3.11千萬,-16.468%,-0.080,-160.912%,2024/03,0475.HK,183000000.0
00712.HK,卡姆丹克太陽能,060107,0.131,-0.006,-4.380%,38.00萬,5.09萬,無盈利,N/A,0.00%,1.39億,00712.HK,0.46,0.45,21.47%,-33.27%,14.23%,30.73%,N/A,-64.35%,2023/12,00712.HK,1.59億,278.000%,4.15千萬,26.151%,4.87千萬,30.735%,0.058,N/A,2023/12,0712.HK,139000000.0
00757.HK,陽光能源,060107,0.095,0.000,0.000%,1.57百萬,14.99萬,無盈利,0.31,0.00%,3.16億,00757.HK,1.15,1.07,1.97%,9.51%,6.37%,1.56%,N/A,123.91%,2023/12,00757.HK,78.85億,1.000%,1.72億,2.185%,1.23億,1.556%,0.037,-88.629%,2023/12,0757.HK,316000000.0
