sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1,TOTAL,WR
0570.HK,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,66.67
0576.HK,2.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,9.0,55.56
0579.HK,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,100.0
0580.HK,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,50.0
0581.HK,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,6.0,50.0
0586.HK,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,50.0
0590.HK,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,66.67
0596.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0598.HK,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,80.0
0604.HK,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,66.67
0622.HK,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,40.0
0631.HK,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,50.0
0636.HK,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,33.33
0639.HK,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,5.0,40.0
0658.HK,4.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,10.0,70.0
0661.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0662.HK,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,33.33
0670.HK,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,42.86
0686.HK,1.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,8.0,50.0
0691.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0693.HK,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,33.33
0694.HK,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,5.0,40.0
0695.HK,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,100.0
0696.HK,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,20.0
0697.HK,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,40.0
