sno,TP12,TP1,TP2,TP1C,CL1,BY1,,,
0756.HK,0,0,0,1,0,0,1,0.00%,
0757.HK,1,0,0,0,2,0,3,33.33%,
0759.HK,0,0,0,0,1,0,1,0.00%,
0764.HK,0,0,1,1,4,0,6,16.67%,
0765.HK,0,1,0,0,2,1,4,25.00%,
0767.HK,0,0,0,0,0,1,1,0.00%,
0768.HK,0,0,0,0,2,0,2,0.00%,
0769.HK,0,0,0,0,2,0,2,0.00%,
0770.HK,0,0,1,0,2,0,3,33.33%,
0776.HK,0,0,0,0,0,1,1,0.00%,
0784.HK,0,0,0,0,1,0,1,0.00%,
0798.HK,1,0,0,0,1,0,2,50.00%,
0802.HK,0,0,0,1,0,0,1,0.00%,
0809.HK,2,0,2,0,1,0,5,80.00%,
0810.HK,0,1,1,0,4,0,6,33.33%,
0814.HK,1,0,3,0,0,0,4,100.00%,
0815.HK,1,0,0,0,1,0,2,50.00%,
0818.HK,0,0,0,0,5,0,5,0.00%,
0821.HK,0,0,0,0,2,0,2,0.00%,
0822.HK,0,0,0,1,0,0,1,0.00%,
0825.HK,2,0,1,0,5,0,8,37.50%,
0827.HK,2,0,1,1,2,0,6,50.00%,
0828.HK,1,0,0,1,1,0,3,33.33%,
0829.HK,1,1,1,1,1,0,5,60.00%,
0831.HK,0,0,0,0,1,1,2,0.00%,
0833.HK,1,0,0,1,1,0,3,33.33%,
0834.HK,1,0,0,0,0,0,1,100.00%,
0840.HK,2,0,0,0,1,0,3,66.67%,
0841.HK,1,0,0,1,1,0,3,33.33%,
0844.HK,0,0,0,0,2,0,2,0.00%,
0848.HK,2,0,0,2,2,1,7,28.57%,
0851.HK,0,1,1,0,1,0,3,66.67%,
0852.HK,0,2,0,0,2,0,4,50.00%,
0854.HK,0,1,0,0,0,0,1,100.00%,
0858.HK,1,0,0,0,2,0,3,33.33%,
0859.HK,0,0,0,0,1,1,2,0.00%,
0860.HK,1,1,0,0,1,0,3,66.67%,
0862.HK,0,0,0,0,2,0,2,0.00%,
0869.HK,1,0,0,0,2,0,3,33.33%,
