Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,LLLow,HHClose,HHHigh,22DLow,33DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,T1_100,classification,PATTERN,LLDate,HHDate,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price,tp3_price,SNO
2025-11-04,CBLL,11.399999618530272,11.510000228881836,10.850000381469728,10.920000076293944,10.920000076293944,347600,0.0,0.0,11.870322995634806,12.141047375869034,12.47564058155072,13.68127337346739,17.151168037747926,False,False,0.0,0.0,0.0,0.0,0.0,CL1-2025/09/05,False,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,,,,,CBLL
2025-10-16,CCB,105.68000030517578,105.68000030517578,98.8000030517578,99.7699966430664,99.7699966430664,183900,0.0,0.0,106.98073493863092,108.94482752314543,107.89950823237,103.00922221436582,89.62232934977203,False,False,113.25,107.2699966430664,109.23999786376952,98.8000030517578,98.8000030517578,BY1-2025/07/28,True,False,False,False,False,False,False,0.0,0,0,False,False,LL,LLLHLH,2025-10-29,2025-11-10,,,,,,,CCB
2025-10-24,CCB,105.8499984741211,108.81999969482422,104.31300354003906,108.80999755859376,108.80999755859376,85400,0.0,0.0,105.4110172560695,107.0277508699906,107.1164227356442,103.14042990034142,90.30242531788129,False,False,0.0,0.0,0.0,0.0,0.0,TP1-2025/07/28,False,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,,,,,CCB
2025-10-27,CINF,156.74000549316406,158.33999633789062,156.5,157.63999938964844,157.63999938964844,657400,0.0,0.0,156.59815302572855,156.97737315402284,155.71246809581055,152.85489253396895,145.80116238531747,False,False,150.0,166.1300048828125,168.0,151.08999633789062,151.08999633789062,SB1-2025/10/27,False,False,False,False,False,False,True,0.78,7,6,True,False,LH,LHLLHH,2025-10-29,2025-11-16,1.0,0.0,159.0,168.0,177.0,186.0,CINF
2025-11-06,COLL,40.02999877929688,41.810001373291016,39.08000183105469,40.65999984741211,40.65999984741211,1822600,0.0,0.0,36.42055978032439,35.57800178146944,35.14300714021554,34.22992292685719,32.839731172934314,True,True,0.0,0.0,0.0,0.0,0.0,TP1-2025/07/24,False,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,,,,,COLL
2025-11-11,COLL,43.83000183105469,44.935001373291016,43.619998931884766,44.84000015258789,44.84000015258789,562300,0.0,0.0,39.724573817796646,37.50202784643008,36.098369843184535,34.77407395484711,33.09403764810013,True,True,0.0,0.0,0.0,0.0,0.0,TP2-2025/07/24,False,False,True,False,False,False,False,0.0,0,0,False,False,,,,,,,,,,,COLL
2025-10-30,CVGW,22.350000381469727,22.440000534057617,22.1299991607666,22.32999992370605,22.32999992370605,211900,0.0,0.0,23.302009830213784,24.170819330207824,25.25743703481203,25.792284046721097,25.978213798589568,False,False,0.0,0.0,0.0,0.0,0.0,CL2-2025/04/03,False,False,False,False,False,True,False,0.0,0,0,False,False,,,,,,,,,,,CVGW
2025-10-24,DGICA,19.350000381469727,19.489999771118164,19.09000015258789,19.11000061035156,18.923486709594727,81100,0.0,0.0,19.242171426213098,19.20510146207643,18.97208827617015,18.70955949450324,17.755392377639577,True,True,18.07999992370605,19.729999542236328,19.75,18.549999237060547,18.549999237060547,SB1-2025/10/24,False,False,False,False,False,False,True,0.88,7,4,True,False,LH,LHLLHH,2025-10-30,2025-11-16,0.0,3.0,18.91,19.75,20.59,21.43,DGICA
2025-10-14,ERIC,9.420000076293944,9.869999885559082,9.40999984741211,9.850000381469728,9.850000381469728,62693400,0.0,0.0,8.567069309273446,8.346861271314227,8.139979242840083,8.061396183906433,7.829112402138892,True,True,9.34000015258789,10.09000015258789,10.350000381469728,8.119999885559082,8.050000190734863,TP2-2025/03/25,False,False,True,False,False,False,False,0.0,0,0,False,False,HH,HHHLHH,2025-10-24,2025-10-31,,,,,,,ERIC
2025-11-03,EXC,45.86000061035156,46.400001525878906,45.290000915527344,46.20000076293945,45.800086975097656,9713700,0.0,0.0,47.05516502455367,46.80033131986008,45.871285189081874,45.00057699644028,43.25526746260095,True,True,0.0,0.0,0.0,0.0,0.0,BY1-2025/09/15,True,False,False,False,False,False,False,0.0,0,0,False,False,,,,,,,,,,,EXC
