sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,TU1,BY1,TOTAL,WR
0842.HK,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,50.0
0853.HK,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,100.0
0855.HK,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,66.67
0856.HK,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,66.67
0861.HK,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,6.0,83.33
0863.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0866.HK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
0874.HK,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,40.0
0880.HK,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0881.HK,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,33.33
0882.HK,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,66.67
0900.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0902.HK,2.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,62.5
0909.HK,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,66.67
0914.HK,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,80.0
0916.HK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0921.HK,1.0,2.0,2.0,0.0,1.0,0.0,5.0,1.0,0.0,11.0,54.55
0931.HK,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,60.0
0933.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0934.HK,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,100.0
0956.HK,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,100.0
0968.HK,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,100.0
0975.HK,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,100.0
0990.HK,2.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,9.0,88.89
0991.HK,1.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,77.78
0995.HK,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,87.5
1033.HK,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,83.33
1050.HK,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,50.0
1051.HK,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,5.0,40.0
1052.HK,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,75.0
1055.HK,2.0,1.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,10.0,60.0
1060.HK,2.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,9.0,66.67
1061.HK,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,6.0,50.0
1066.HK,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,50.0
1070.HK,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,8.0,62.5
1071.HK,3.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,8.0,75.0
1072.HK,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,7.0,71.43
1083.HK,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,50.0
1091.HK,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,83.33
1099.HK,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,75.0
1104.HK,0.0,1.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,9.0,44.44
1112.HK,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,33.33
1114.HK,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,5.0,60.0
1115.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1117.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
1121.HK,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,66.67
1126.HK,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,66.67
1133.HK,2.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,10.0,60.0
1138.HK,2.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,9.0,33.33
1142.HK,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,66.67
1157.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
1164.HK,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,7.0,71.43
1167.HK,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
1168.HK,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,60.0
1184.HK,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,83.33
1186.HK,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,50.0
1196.HK,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,6.0,50.0
1199.HK,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,100.0
1205.HK,1.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,75.0
1223.HK,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,66.67
1224.HK,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,40.0
1234.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1250.HK,0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,6.0,50.0
1277.HK,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,100.0
1280.HK,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
