sno,TP12,TP1,TP2,TP1C,CL1,BY1,,
2185.HK,0,1,0,1,2,0,4,
2186.HK,0,0,0,2,1,0,3,
2190.HK,2,0,0,0,0,0,2,
2192.HK,1,0,0,0,0,0,1,
2196.HK,1,0,0,1,4,0,6,
2197.HK,0,0,1,0,1,0,2,
2198.HK,2,0,0,1,1,0,4,
2208.HK,3,0,0,0,2,0,5,
2209.HK,1,0,0,0,0,0,1,
2225.HK,0,0,0,1,0,0,1,
2233.HK,7,0,1,1,3,0,12,
2238.HK,11,0,1,2,5,1,20,
2245.HK,0,0,0,1,0,0,1,
2252.HK,2,0,1,0,0,0,3,
2255.HK,3,0,0,0,2,0,5,
2256.HK,1,0,0,0,1,0,2,
2273.HK,0,1,0,0,0,0,1,
2276.HK,0,0,0,0,1,0,1,
2283.HK,0,1,0,0,1,1,3,
2285.HK,0,0,0,0,1,0,1,
2299.HK,0,1,0,0,0,1,2,
2302.HK,3,0,0,1,2,0,6,
2306.HK,0,1,0,0,0,0,1,
2314.HK,6,0,1,1,6,0,14,
2315.HK,1,0,0,0,0,0,1,
2338.HK,3,0,0,1,6,0,10,
2342.HK,10,0,0,0,2,0,12,
2343.HK,5,0,0,2,3,0,10,
2356.HK,3,0,2,0,3,0,8,
2357.HK,6,1,0,1,6,0,14,
2360.HK,0,0,0,1,0,0,1,
2362.HK,2,0,0,0,1,2,5,
2368.HK,1,1,0,1,1,0,4,
2386.HK,5,0,0,1,3,0,9,
2390.HK,1,0,0,0,2,0,3,
2391.HK,1,0,0,0,1,0,2,
2410.HK,0,0,0,0,0,1,1,
2411.HK,0,0,0,0,1,0,1,
2429.HK,0,0,0,0,0,1,1,
2443.HK,1,0,0,0,0,0,1,
2451.HK,0,0,0,0,1,0,1,
2469.HK,0,0,0,0,1,0,1,
2490.HK,0,0,0,0,2,0,2,
2498.HK,0,0,1,0,0,0,1,
2517.HK,0,0,0,1,0,0,1,
2518.HK,2,0,0,0,2,0,4,
2552.HK,1,0,0,1,1,0,3,
2555.HK,0,1,0,0,0,0,1,
2585.HK,1,0,0,0,0,0,1,
2598.HK,1,0,0,0,0,1,2,
2616.HK,0,0,0,1,0,0,1,
2660.HK,1,0,1,0,1,0,3,
2678.HK,2,0,0,0,3,0,5,
2689.HK,3,0,0,3,2,0,8,
2727.HK,5,0,0,0,3,0,8,
2858.HK,0,0,0,0,1,0,1,
2866.HK,1,0,0,0,5,0,6,
2880.HK,3,0,1,0,2,0,6,
2883.HK,5,0,2,1,1,0,9,
3323.HK,5,0,0,1,2,0,8,
3330.HK,1,0,0,2,4,0,7,
3336.HK,3,0,0,1,5,0,9,
3337.HK,1,0,0,0,3,0,4,
3339.HK,3,0,0,1,3,0,7,
3347.HK,0,0,1,0,0,1,2,
3369.HK,1,0,0,1,0,0,2,
3382.HK,4,0,0,0,1,0,5,
3396.HK,1,0,0,1,1,0,3,
3600.HK,0,0,1,0,1,1,3,
3613.HK,4,0,0,1,3,0,8,
3618.HK,2,0,0,0,4,0,6,
3633.HK,2,0,1,2,6,0,11,
3650.HK,1,0,0,0,0,0,1,
3669.HK,2,0,0,2,1,0,5,
3681.HK,0,1,0,0,1,0,2,
3698.HK,3,0,0,0,3,0,6,
