sno,returns,final,peak,trades_counts,win_rates,RR,SQN,sharpe_ratios,sortino_ratios,calmar_ratios,avg_trade,best_trade,worst_trade,max_tradeday,avg_tradeday,max_drawdowns,avg_drawdowns,max_drawdownday,avg_drawdownday,buy_hold_return,ann_return,volatility
P_0268.HK,9.521976048946405,1095219.760489464,1097099.76041317,4,50.0,1.7077149254450223,0.46542125497179304,0.11899692089147795,0.20112831138490533,0.03369137847705094,3.193136281059461,28.41356129403841,-18.01177260983303,85 days,53 days,-13.758841802939736,-3.0123550886031976,5426 days,1006 days,3022.7935587000966,0.46355434658871264,3.895515473139527
P_0270.HK,11.381799576282502,1113817.995762825,1115253.9957284927,2,50.0,2.0439282945440955,0.774430184497364,0.18765245145480308,0.33781070013224973,0.0892956157708775,4.380828999511821,22.289571717899225,-10.905261098149719,342 days,234 days,-4.7506329865989905,-1.9722046264335824,7035 days,1266 days,569.0265464319657,0.4242106978397997,2.26061900364767
P_0285.HK,21.051598672866824,1210515.9867286682,1212471.9866752625,1,100.0,,,0.36808266581283894,28.27668805646016,6.7169088030299156,27.554449006228275,27.55444900622829,27.55444900622829,5 days,5 days,-0.16132331040140668,-0.16132331040140668,3643 days,3643 days,201.6363664106889,1.083593963769136,2.94388751335581
P_0322.HK,-4.339600763320923,956603.9923667908,1013259.9866390228,1,0.0,0.0,,-0.2635230649522383,-0.29591043477993184,-0.031254108274256745,-11.728650560525299,-11.728650560525297,-11.728650560525297,23 days,23 days,-5.5914567849619345,-5.5914567849619345,8359 days,8359 days,2359.615467497586,-0.1747559957680278,0.663152562375142
P_0358.HK,-10.826997137069702,891730.028629303,1078260.0191116333,1,0.0,0.0,,-0.23018136279040008,-0.2749947710072903,-0.026015629131161108,-12.444824568317115,-12.444824568317118,-12.444824568317118,45 days,45 days,-17.299165987440613,-17.299165987440613,7653 days,7653 days,4122.857349162208,-0.4500486866076514,1.9551916851646214
P_0384.HK,-11.173199434280395,888268.005657196,1028200.01912117,4,25.0,0.8592526576627415,-1.0744734819388768,-0.22833743444224094,-0.2768930786805535,-0.038536819426104825,-1.5886227406245235,19.87187470954377,-11.97900142129091,32 days,25 days,-13.609415567175109,-2.41314358996613,6932 days,1134 days,475.9123970090476,-0.5244635902070471,2.296879578629551
P_0386.HK,20.174238483905793,1201742.384839058,1203846.3849306107,4,75.0,4.067673670727238,0.9745342162680666,0.2471217719191476,0.3718031835021208,0.061120256495305496,10.85334530837967,22.694148272320312,-15.886214804366954,178 days,81 days,-12.21526686926918,-2.0403964034493924,7918 days,697 days,354.5809172672588,0.7466002442083397,3.0211835987183258
P_0486.HK,11.331207637786864,1113312.0763778687,1115488.0764007568,2,50.0,1.9498533943817342,0.41237978182157736,0.1307042563520106,0.21915911077206693,0.04116648506303819,4.011092265350924,21.802703141746235,-11.181714073769893,152 days,88 days,-16.730189214914105,-6.105490206564745,3776 days,772 days,-42.072534988977885,0.688723084417564,5.269324072834369
P_0631.HK,42.95480513572693,1429548.0513572693,1432392.051410675,5,60.0,2.7454573759059118,1.3350376963893003,0.4581592255333345,0.9295907979407,0.1523195544048813,6.65487271181735,21.63090405689457,-11.667740697493546,58 days,42 days,-15.225277385174108,-3.169432174309249,2799 days,522 days,207.89478637505795,2.3191074670004364,5.061793668567532
P_0656.HK,16.62840763092041,1166284.076309204,1168312.0763778687,1,100.0,,,0.6100449346381467,3.0365438125285444,0.7869091283864884,19.70190575550388,19.70190575550388,19.70190575550388,27 days,27 days,-1.0827265374706907,-0.40397516382667975,648 days,133 days,-61.01760749301698,0.8520073958819818,1.396630555398935
P_0670.HK,0.6888028621673584,1006888.0286216736,1192016.0017967224,6,50.0,1.718618124281676,0.029476037110217183,0.00807136739610514,0.011931182109077076,0.001773274403759381,3.0511838253159507,21.338616893679706,-12.77519771575928,140 days,65 days,-15.530661744138163,-3.546688146368286,4473 days,677 days,554.1667031434682,0.02754012494432523,3.4120767390188176
P_0700.HK,5.419779176712036,1054197.7917671204,1054809.9041461945,1,100.0,,,0.3374009954692837,1.007756001261471,0.1567069636542685,21.61472248880123,21.614722488801224,21.614722488801224,15 days,15 days,-1.5926044797996863,-0.8253175333981344,7476 days,3741 days,71912.96522942928,0.24957221233159466,0.7396902074472842
P_0728.HK,9.00359504699707,1090035.9504699707,1128519.971370697,4,50.0,1.8359033731948107,0.33195836842616644,0.06429355388001602,0.09453552735164578,0.013367999514586537,3.4814504100316945,21.727601858672372,-12.181949263866112,172 days,115 days,-28.485808014987114,-7.612751617556827,6042 days,1017 days,238.88888336994052,0.380798267716953,5.922806327172315
P_0762.HK,5.324398860931397,1053243.988609314,1289344.003868103,2,50.0,1.682434547043587,0.15743529430269798,0.06798338631865453,0.11616509481313644,0.011350551101231074,2.8418873603007766,20.177319992248687,-11.992930142634519,57 days,36 days,-18.311638674432583,-5.254036437683114,7469 days,1701 days,-57.51479295617262,0.2078471905214263,3.0573232928880065
P_0857.HK,-10.26,897400.0,1000599.9980926514,1,0.0,0.0,,-0.26008975543248175,-0.29102947975597676,-0.04164908629435276,-14.657142857142858,-14.657142857142864,-14.657142857142864,52 days,52 days,-10.313811542011964,-10.313811542011964,1256 days,1256 days,669.4214980252636,-0.42956082693694775,1.6515868770865911
P_0867.HK,-8.138944873809814,918610.5512619019,1000000.0,1,0.0,0.0,,-0.436117529937339,-0.4335794954042395,-0.069468347196145,-11.304090401969757,-11.30409040196976,-11.30409040196976,10 days,10 days,-8.138944873809816,-8.138944873809816,5187 days,5187 days,398.6702298409079,-0.5653990483041049,1.296437335104005
P_0914.HK,5.333595654964447,1053335.9565496445,1054795.9565877914,3,33.33333333333333,0.9356222433945075,0.2604939204486097,0.07303904994331789,0.119091451417148,0.01241242322541082,-2.2677478449466215,26.1364355039763,-14.916413338680409,65 days,41 days,-16.601733262663267,-4.238098635792369,7826 days,1715 days,11665.64379579277,0.20606773953155688,2.821336527398374
P_0966.HK,-14.169657678604125,858303.4232139587,1066684.6479415896,3,33.33333333333333,0.8410666568930294,-1.0267280661227274,-0.2893387564476317,-0.34526610470339036,-0.03129486720406522,-2.417488001281465,20.427894465678477,-13.795969588835828,61 days,41 days,-19.535410501102625,-3.5334640189523023,8670 days,1149 days,1515.9576149855986,-0.6113580774089078,2.1129491427794926
P_0968.HK,-15.742395038604737,842576.0496139526,1022572.0248222351,2,0.0,0.0,-39.27747018896427,-0.31652584169483555,-0.3815119908265065,-0.08139929318105864,-10.992945621820871,-10.743414361146721,-11.241779277387138,42 days,24 days,-17.60227845462261,-17.60227845462261,498 days,498 days,214.29632894547956,-1.4328130245824577,4.526685773617944
P_0981.HK,6.441998100280761,1064419.9810028076,1088399.9618530273,2,50.0,2.536814766497812,0.2794792870809686,0.06347799945388855,0.09717125293476539,0.016565058791046687,6.404353214797354,26.332143312388535,-10.38000237941742,99 days,81 days,-17.692022100769734,-7.7435825023529015,5224 days,1745 days,189.09092142124368,0.29306938623174794,4.616865508571018
P_0992.HK,-7.762999992370606,922370.000076294,1053610.0191116333,1,0.0,0.0,,-0.19921280087958407,-0.22509372678610964,-0.025679914572841325,-11.169784468226386,-11.16978446822639,-11.16978446822639,24 days,24 days,-12.456223522437293,-6.468816710317727,8144 days,4073 days,-30.740737915039052,-0.31987475595640635,1.6056937834519853
P_0998.HK,17.428406867980957,1174284.0686798096,1176320.0687408447,1,100.0,,,0.22826470598459933,0.31487324471440875,0.10751672992628891,20.74810435649801,20.748104356498004,20.748104356498004,150 days,150 days,-8.184582745404734,-3.8995174087389213,4229 days,873 days,17.50589990584101,0.879979572597045,3.8550838107071
P_1055.HK,67.09360471725464,1670936.0471725464,1672804.047203064,11,54.54545454545454,2.43786096809728,1.477328916884673,0.23677567538131616,0.38408032300329636,0.08549089069490848,6.057584570297014,26.713296149223027,-12.54112461634043,241 days,84 days,-23.953862199200348,-6.040152393352939,2912 days,582 days,460.9828278616596,2.047837014992737,8.648848796206753
P_1060.HK,4.545919923782349,1045459.1992378235,1060537.2106552124,9,55.55555555555556,5.162048535735943,0.5314721990349703,0.10119259438911345,0.16114196867431688,0.024563760614842438,14.12337501299994,58.21269961169939,-12.376000475883483,67 days,26 days,-8.763295307627972,-2.0430858055847354,6612 days,1185 days,215.15149106883135,0.2152594881337455,2.1272257069130314
P_1070.HK,-14.925423107147228,850745.7689285277,1014295.2522277832,4,25.0,0.5339047700181403,-0.625584847859424,-0.1768433549976246,-0.22963457974892498,-0.03232562918789604,-5.240236539213683,19.778153667099694,-13.539835710262698,44 days,26 days,-19.68490922459444,-10.75215222124497,6933 days,3473 days,-75.37640684514444,-0.636327076191634,3.598252680742125
P_1093.HK,4.78977897644043,1047897.7897644043,1048476.9561767578,1,100.0,,,0.2209952423509565,0.42814858812954437,0.07553085308283126,19.905574967025164,19.905574967025156,19.905574967025156,91 days,91 days,-2.796368449506903,-0.9381706444383159,4783 days,1218 days,843.5428292410716,0.21121209452517054,0.955731409772842
P_1128.HK,18.994805335998535,1189948.0533599854,1192168.0534362793,1,100.0,,,0.28322319982884,1.035516678423139,0.17190029424143008,20.736687393466458,20.73668739346645,20.73668739346645,15 days,15 days,-6.373438673203003,-2.3809512174513436,1333 days,449 days,-42.857142857142854,1.0955959832533058,3.8683129910099394
P_1164.HK,-0.08535848259925842,999146.4151740074,1042250.4049062729,7,42.857142857142854,1.436107528118461,-0.019641552311787585,-0.003649345899941811,-0.005337731171877959,-0.000892811318340136,1.547407154764291,27.983489868440508,-14.249799436456314,160 days,46 days,-4.135665434079794,-1.1329079629143801,2981 days,846 days,1133.7662643275637,-0.0036923689084145117,1.0117892383052498
P_1171.HK,6.9340855336189495,1069340.8553361895,1385449.6136903765,7,57.14285714285714,2.5452667407225307,0.16850133574567358,0.0373245070538148,0.05944967607500171,0.011570567566531973,7.187056728946928,40.82172832329756,-14.694628464114704,250 days,68 days,-22.81633018123109,-4.2831623915491,4804 days,712 days,1801.7169956167636,0.26399788998223706,7.073044249495449
P_1177.HK,10.458573801517487,1104585.7380151749,1201033.449292183,6,50.0,2.06772078311515,0.5933239340453812,0.17924372232581456,0.3067910450105125,0.058901242940477404,4.436626572211266,24.783177670296038,-10.865922559490807,79 days,41 days,-8.030393436073624,-1.9795660711628533,3971 days,425 days,6574.661822461182,0.4730001546857876,2.638865944917204
P_1193.HK,10.172799625396728,1101727.9962539673,1102967.9962158203,1,100.0,,,0.17288723205158052,0.32648962312729307,0.038186046906653275,19.7147285391853,19.714728539185305,19.714728539185305,62 days,62 days,-10.536538505296033,-3.575988141530584,6212 days,1567 days,238.43749257270258,0.40234875359699274,2.327232316825761
P_1208.HK,-20.73158455371859,792684.1544628141,1007763.6222839355,3,0.0,0.0,-6.629832356903124,-0.4402537201779135,-0.5028918072422016,-0.050433746996544966,-11.820785622716468,-10.724133114694459,-12.827930186724043,33 days,16 days,-21.342253586577986,-11.128854797744559,5280 days,2641 days,240.465047716038,-1.0763698177215786,2.444885229559447
P_1211.HK,-4.812450270652771,951875.4972934723,1028961.480808258,1,0.0,0.0,,-0.18663213970784231,-0.21803145648220237,-0.029315687074346793,-11.150803752084181,-11.150803752084187,-11.150803752084187,15 days,15 days,-7.491629662777466,-4.865521873788664,7924 days,3964 days,8779.028132455434,-0.21962227087087838,1.176765541104975
P_1258.HK,-12.347202863693237,876527.9713630676,1045460.0018501282,2,0.0,0.0,-4.324458465979171,-0.28963236810512233,-0.3741761824338705,-0.08777006696152513,-13.159026176670386,-12.231959395105038,-14.07630063734583,28 days,21 days,-16.158631625132013,-8.333573341633327,1823 days,924 days,593.6363590059202,-1.4182441797444545,4.8967047054274735
P_1288.HK,7.84399676322937,1078439.9676322937,1080203.9675712585,2,50.0,1.8075430362872893,0.36466077147029863,0.17117991151248843,0.2794589236248676,0.06588847313130841,3.312027465598799,20.050812691398466,-11.092854935605311,88 days,51 days,-7.579597902297985,-2.7156952039002387,3216 days,528 days,68.80733985088558,0.4994081327316824,2.9174459100900285
P_1308.HK,8.630795803070068,1086307.9580307007,1226363.9713287354,3,66.66666666666666,2.5612716515802854,0.5095395457149822,0.12830995482016927,0.20262026741023634,0.04851061557106032,5.135175576501672,20.15805006468553,-11.488891901763123,174 days,94 days,-11.420427913116804,-3.354310274196943,4428 days,507 days,556.512105821213,0.5540119881502159,4.317763098948031
P_1339.HK,-26.044799814224255,739552.0018577575,1000000.0,3,0.0,0.0,-10.508522448328346,-0.45431243981607555,-0.4850377387452562,-0.0891327076271442,-11.63162922032498,-10.61574468761471,-12.366426639576538,127 days,56 days,-26.044799814224252,-26.044799814224252,2803 days,2803 days,83.60214707465212,-2.32144352704875,5.109795206110944
P_1357.HK,-11.5383988571167,884616.011428833,1000000.0,2,0.0,0.0,-4.00861921733191,-0.6529690895888237,-0.7112608452268244,-0.11824480826851559,-12.739889377678825,-12.514452934105789,-12.964744907126102,15 days,13 days,-11.538398857116693,-11.538398857116693,2047 days,2047 days,-21.871348779882492,-1.3643557605854228,2.08946454332863
P_1378.HK,15.862003622055054,1158620.0362205505,1160472.036266327,1,100.0,,,0.5041973305617847,1.3613770103401033,0.4085399207004828,20.761785208448693,20.761785208448686,20.761785208448686,30 days,30 days,-2.6107882209571165,-1.3101297994872105,4572 days,1531 days,367.4271443878048,1.066611212755575,2.1154638235929166
P_1729.HK,17.018797721862793,1170187.977218628,1172267.977142334,1,100.0,,,0.4568150700372034,1.0871419604086885,0.4620417332539988,19.652191711006296,19.65219171100629,19.65219171100629,18 days,18 days,-4.431571147404023,-1.8221770238088706,364 days,76 days,4111.764497987958,2.047570813984967,4.48227510055264
P_1735.HK,-1.3816245177388191,986183.7548226118,1014025.7524460554,3,33.33333333333333,1.7474181912268056,-0.534554512702507,-0.29609684983278023,-0.3906771241023506,-0.06789297734795177,3.1305343542317843,38.807141122873745,-11.592528819958488,33 days,19 days,-2.745689402491258,-1.0240192398940473,2009 days,899 days,8429.801580478355,-0.18641302840785023,0.6295677529603115
P_1816.HK,10.377199430465698,1103771.994304657,1104991.9942855835,1,100.0,,,0.747587323141027,2.9942544726204976,1.228063044949708,20.58968156549423,20.589681565494246,20.589681565494246,26 days,26 days,-0.7414320244387373,-0.444228847949929,633 days,161 days,-5.740183096828341,0.9105252695554622,1.2179517246625355
P_1888.HK,-7.851197519302368,921488.0248069763,1008668.0381774902,1,0.0,0.0,,-0.33825339392123654,-0.39390830963211426,-0.05038723787499836,-11.788585133906759,-11.78858513390676,-11.78858513390676,41 days,41 days,-8.643082765667376,-4.88814090447065,4659 days,2333 days,88.57782281180343,-0.4355010672869808,1.2874994755806906
P_1898.HK,-8.296801910400402,917031.980895996,1060435.94083786,1,0.0,0.0,,-0.1672779606601529,-0.24395576384538856,-0.03420296901332173,-10.609720880143826,-10.609720880143819,-10.609720880143819,101 days,101 days,-13.523113883575032,-4.849268207141974,3117 days,783 days,170.17543529429483,-0.4625306451235378,2.7650423480665776
P_1919.HK,-14.658464121818554,853415.3587818145,1028713.7314796448,4,25.0,0.5701556163852102,-1.06667421324861,-0.19933410920894923,-0.2718179950213532,-0.03393964129694968,-4.797201394326523,20.510512593958317,-12.32054467192058,34 days,25 days,-23.482050676155175,-10.069301440118936,5230 days,1325 days,371.73867771715743,-0.7969723768655013,3.9981736192980697
P_1988.HK,12.523197326660156,1125231.9732666016,1126743.9732551575,1,100.0,,,0.29907103152699543,0.48655962627241234,0.092053413997951,19.941396350753205,19.941396350753198,19.941396350753198,131 days,131 days,-8.133668190357168,-1.7904218088995498,368 days,70 days,-17.527263030247646,0.7487319252489133,2.503525404737602
P_2039.HK,-10.762666263580323,892373.3373641968,1106082.6591491702,1,0.0,0.0,,-0.11963874472694741,-0.16106647790245174,-0.04580513772473165,-11.226703989953391,-11.226703989953387,-11.226703989953387,206 days,206 days,-19.321279473756924,-6.0215160536968755,2223 days,263 days,66.52407195182282,-0.8850138673134667,7.39738509738916
P_2282.HK,16.828802661895754,1168288.0266189575,1170316.026687622,1,100.0,,,0.3349261858937016,23.824201820397228,6.291070552725276,19.986701317588263,19.986701317588256,19.986701317588256,4 days,4 days,-0.17328653307470132,-0.17328653307470132,1179 days,1179 days,-11.923080544029624,1.090157805410108,3.2549195951973156
P_2328.HK,25.58020664691925,1255802.0664691925,1258242.7179813385,2,100.0,,1.6638989951921674,0.5123378301173827,1.1091788838852066,0.19321015231965738,21.728513165612174,23.222889993096484,20.252259286734642,161 days,94 days,-5.451686681676415,-1.1087419242450653,5632 days,682 days,945.6227494435792,1.0533212141657478,2.055911455776005
P_2331.HK,-9.537595987319946,904624.0401268005,1016220.0305938721,1,0.0,0.0,,-0.36826515323523074,-0.3809806450513431,-0.04310982589717264,-10.716400445076612,-10.716400445076609,-10.716400445076609,8 days,8 days,-10.981479119424131,-10.981479119424131,3920 days,3920 days,922.0437314750304,-0.47340965293181103,1.2855130298723074
P_2333.HK,5.020489311218261,1050204.8931121826,1050800.093126297,4,50.0,1.3687110080988967,0.6429013885328898,0.1486707903651175,0.2765731463952815,0.030745385412062114,1.127440166105953,21.01513863403691,-20.18279474154008,55 days,22 days,-7.391626642680571,-1.8901945482944345,5875 days,932 days,1049.999984314567,0.22725840995128088,1.5286016129541096
P_2338.HK,2.7165294647216798,1027165.2946472168,1063347.5258350372,3,66.66666666666666,2.3800799333741174,0.5302573468503201,0.17630344570875234,0.3072999755272608,0.036967308674746756,4.479717444649789,22.111233566965005,-11.732556352776854,52 days,32 days,-3.402672250486205,-0.7682706784496274,7280 days,785 days,3222.3120991515025,0.12578763540271876,0.7134723595278785
P_2380.HK,-13.167855730056752,868321.4426994325,1090411.1536979673,6,33.33333333333333,0.6186909253182225,-1.0467712124217394,-0.16954145759875514,-0.2406044095212042,-0.03314355584607218,-3.5376868360902813,23.524707838268892,-11.740918135597829,245 days,94 days,-20.36752010884615,-5.494648857565311,5118 days,1037 days,12.485161121541509,-0.6750520401735405,3.981634048299565
P_2382.HK,14.922397427558899,1149223.974275589,1149943.9742565155,2,100.0,,19.092075758309978,0.47785030215263774,1.1366231265091251,0.2806391650288528,24.171389589865267,24.549991738134295,23.793938301461218,56 days,31 days,-2.7308012137202797,-1.1974857206915748,5230 days,940 days,1371.32161178085,0.766369772478237,1.6037863092810993
P_2600.HK,4.651005706787109,1046510.0570678711,1366034.087562561,5,40.0,1.334355598665794,0.08499259488956566,0.028818349908660834,0.04291809630536269,0.008260280972900554,0.3636610918211547,38.3809793677878,-26.07953493041245,28 days,26 days,-23.390633762648072,-8.693978479357959,3216 days,986 days,833.5714226717851,0.19321320701368716,6.704520127837729
P_2688.HK,19.11500048160553,1191150.0048160553,1192340.0047779083,2,100.0,,7.79250672986904,0.3734433797442645,0.7684982330841491,0.18395175156608784,22.079269872804574,22.235050029067413,21.92368824762655,45 days,39 days,-3.9555406279386918,-2.0586030737210717,8236 days,1488 days,4933.087957959792,0.7276286269001453,1.9484309171538354
P_2689.HK,-7.26360285758971,927363.9714241029,1008611.9904518129,1,0.0,0.0,,-0.19446097430528428,-0.2486362465205541,-0.04793335240494683,-10.466286452018936,-10.466286452018938,-10.466286452018938,50 days,50 days,-8.05542862833849,-3.554349441573616,469 days,99 days,98.32460896108319,-0.3861236992150463,1.9856102263936553
P_2799.HK,-15.641799712181093,843582.0028781891,1015631.9966554642,6,0.0,0.0,-2.225138427083967,-0.4806382104384249,-0.5002309718319953,-0.10719592477029814,-17.12602711143908,-4.558329460583561,-44.8760889946569,313 days,96 days,-16.940190378389598,-6.384664718033344,2025 days,681 days,-72.58064354867761,-1.8159193733963797,3.7781419245464236
P_3800.HK,0.5696794486045721,1005696.7944860457,1139137.879896164,5,40.0,1.4039008019272536,0.033685686089521126,0.01178291726252123,0.022690044657533538,0.0028240233101649945,1.3319861740439976,28.749532014081485,-13.944281526025371,42 days,24 days,-11.714217195751742,-4.129928396298144,4993 days,1308 days,-73.41038066693027,0.033081222421138534,2.80755789793775
P_3808.HK,-9.103201522827147,908967.9847717285,1090224.0076065063,2,50.0,0.1880189600102511,-0.6905154766839944,-0.14273260760929699,-0.18278636792811934,-0.03228496671390118,-5.238097738675506,2.297294690192775,-12.218420366049907,46 days,37 days,-16.625576172433586,-12.401589041035521,4993 days,2518 days,260.4051623112465,-0.536756173326447,3.760571479193553
P_3896.HK,-7.388797903060924,926112.0209693908,1054983.994293213,1,0.0,0.0,,-0.4230314673355595,-0.5488295285900164,-0.20387458634398947,-14.544877980373094,-14.544877980373094,-14.544877980373094,52 days,52 days,-12.215538247114354,-7.161261957336769,828 days,286 days,229.04762672458952,-2.4904378070996214,5.887121879574367
P_3988.HK,-6.29967086315155,937003.2913684845,1060495.655632019,1,0.0,0.0,,-0.1922491193579104,-0.26174646261204837,-0.028990368871566596,-14.407045515663231,-14.407045515663231,-14.407045515663231,35 days,35 days,-11.644777949602947,-6.639132639305457,6281 days,3142 days,45.8445160692886,-0.33758640818647434,1.7559841590638934
P_6088.HK,14.386000385284422,1143860.0038528442,1145076.0038375854,1,100.0,,,0.39118008238684154,0.8319342244170711,0.39494989126898555,31.138529743802223,31.138529743802213,31.138529743802213,57 days,57 days,-4.09725783167969,-1.9981287591137549,198 days,37 days,61.046507840159194,1.6182115351228932,4.136743172732984
P_6186.HK,35.63119866371155,1356311.9866371155,1358127.9866218567,2,100.0,,10.203661242788076,0.8238875473407057,5.429878337442718,1.3397060789068276,20.615565516878775,21.59892277103146,19.64016056581611,37 days,21 days,-3.8296912582186593,-1.5657816792306711,653 days,296 days,-45.698925661536244,5.130660658971875,6.227379786880274
P_6823.HK,-3.229206864833832,967707.9313516617,1002204.7256469727,2,0.0,0.0,-6.834744889223295,-0.364343558789681,-0.43748490663511175,-0.04261571947569443,-12.003101281876905,-10.675000246965528,-13.311455858755153,108 days,67 days,-3.442090564185041,-3.442090564185041,7977 days,7977 days,1332.032141567661,-0.1466871658932445,0.402606722019533
