sno,returns,sharpe_ratios,max_drawdowns,trades_counts,win_rates
P_0326.HK,4.8638023078441615,0.28148264047309735,-7.461297329950877,5,20.0
P_0336.HK,52.733605327606206,1.1044054995629988,-8.205166723621659,7,85.71428571428571
P_0338.HK,-1.3659994220733642,-0.07493709571615749,-9.200084547228416,8,50.0
P_0340.HK,5.750000290870667,0.2082264482243095,-11.338599624815782,10,60.0
P_0347.HK,-5.97559923171997,-0.48970688467321544,-8.095291705798878,1,0.0
P_0354.HK,36.264387397766114,0.6314575312771378,-15.407232966922669,5,80.0
P_0369.HK,2.4108019065856934,0.29633358072537586,-4.253782112958371,4,75.0
P_0371.HK,-0.9312051486968995,-0.04823995915986317,-9.2006753978098,7,42.857142857142854
P_0373.HK,28.19720058441162,1.0853355037833534,-5.877389524137378,7,85.71428571428571
P_0376.HK,-9.525601887702932,-0.303275640989512,-23.14997706002003,11,45.45454545454545
P_0390.HK,-0.40960264205932617,-0.008938817054348592,-19.1225727354403,10,70.0
P_0393.HK,11.943599529266358,1.0226331576101673,-2.538383759001306,13,100.0
P_0400.HK,44.25240362167359,1.2886611373718162,-4.8156069020242604,11,72.72727272727273
P_0410.HK,-4.292400760650635,-1.048673956200049,-4.292400760650638,1,0.0
P_0434.HK,99.30999677181244,0.9576160720012546,-17.392601656559503,14,71.42857142857143
P_0451.HK,1.1424008536338806,0.06402260273057589,-5.822233092816409,8,37.5
P_0460.HK,12.666001529693604,0.8044223682030697,-4.492838081209594,9,55.55555555555556
P_0467.HK,-6.447201428413391,-0.5996929420964501,-10.307424320736146,6,33.33333333333333
P_0468.HK,15.525201239585876,0.7302791442238056,-10.032472966146944,4,75.0
P_0489.HK,-10.26960117340089,-0.45765579748264723,-19.000682105009304,5,60.0
P_0506.HK,-16.754400568008435,-0.4834964070346623,-21.24649500241931,9,44.44444444444444
P_0512.HK,-9.533600769042968,-0.859964157615437,-13.696864044255863,1,0.0
P_0517.HK,73.57080451965332,0.9688998673528452,-11.69779713009298,19,78.94736842105263
P_0521.HK,1.1322800904512405,0.46118268759142117,-1.5500481834676005,5,60.0
P_0525.HK,0.5612002897262572,0.017745632914398145,-17.031724747511813,10,50.0
P_0546.HK,88.13798313140869,1.157324732766393,-11.754628892198237,9,66.66666666666666
P_0547.HK,-3.9755586910247804,-0.4569457570081206,-7.12606589478193,12,33.33333333333333
P_0552.HK,38.121193122863765,0.5799432268361507,-25.677112329405738,12,58.333333333333336
P_0558.HK,-25.306396198272697,-0.7287229160244809,-34.511924497185255,5,40.0
P_0565.HK,4.352201478481293,0.44498749252319014,-6.838207948098107,5,60.0
P_0570.HK,-6.060404405593872,-0.4216310407317593,-11.621525767959973,2,50.0
P_0579.HK,-0.18039895534514216,-0.0079290393479533,-6.935748437506883,10,60.0
P_0580.HK,8.433600759506225,0.5172983993596578,-6.424043971197301,7,71.42857142857143
P_0581.HK,3.717200765609753,0.24981129279783323,-6.118722363210239,4,50.0
P_0596.HK,60.088806858062746,0.8007133106350323,-19.593767913126836,8,75.0
P_0598.HK,40.34518570899963,0.7234159177891988,-17.423371385950926,15,73.33333333333333
P_0604.HK,-8.534799332618713,-1.3603116065069634,-10.62614756483512,4,25.0
P_0622.HK,-1.3777603125572204,-0.25355785559369964,-5.367625886269989,7,14.285714285714285
P_0639.HK,21.94807277679441,0.6434281511715156,-13.25084627681823,10,70.0
P_0658.HK,9.975599422454835,0.6858479765854091,-5.253132683393513,6,83.33333333333334
P_0661.HK,0.8612800006568432,0.4080280364360649,-1.0024478579013785,7,71.42857142857143
P_0662.HK,28.088400964736937,1.3139834988893448,-5.541393314049115,3,66.66666666666666
P_0667.HK,23.819195404052735,0.6672501165656082,-9.896723779753158,4,75.0
P_0670.HK,78.16559130191803,1.6469293426301763,-9.32671968283325,13,84.61538461538461
P_0686.HK,9.388796467781066,0.4116844998309473,-8.274271760625052,13,69.23076923076923
P_0691.HK,3.407200366258621,0.3262872430800582,-5.637459687886281,11,45.45454545454545
P_0693.HK,6.750800099372864,1.1265817253134864,-3.101512015267738,5,80.0
P_0694.HK,-8.727597713470459,-0.41797986723756325,-14.603238754237669,6,50.0
P_0695.HK,-2.0959960889816283,-0.09300127904712585,-10.011396485328039,3,33.33333333333333
P_0697.HK,7.056002283096313,0.3460567839499082,-9.05282668685471,4,50.0
P_0709.HK,-13.473600859642017,-0.4141071413708263,-27.905721152497065,10,40.0
P_0732.HK,1.0399980878829957,0.06990886575817418,-5.400002427111749,12,50.0
P_0737.HK,11.737202281951904,0.6784329931501458,-5.299107358372346,6,66.66666666666666
P_0743.HK,19.97479981422424,0.8250307763817688,-2.292397899627685,1,100.0
P_0746.HK,39.837596569061276,0.5519647272970405,-19.182943721128108,11,54.54545454545454
P_0751.HK,62.641195611953734,0.8640726661481565,-14.335700335643898,7,85.71428571428571
P_0752.HK,19.66199753761289,0.6908541731700404,-9.661974093198634,19,84.21052631578947
P_0775.HK,2.943800023794174,0.46300282828744577,-2.795064828072058,3,66.66666666666666
P_0799.HK,41.15880266189575,1.0791824900177642,-5.977714138924572,3,100.0
P_0806.HK,9.746798677444458,0.32441207782943715,-15.772593179856143,10,60.0
P_0807.HK,-2.641199100017548,-0.2896019519427121,-7.944971181173289,5,40.0
P_0815.HK,10.327440092265606,1.2554090160772478,-1.6627151302535337,9,88.88888888888889
P_0816.HK,-8.19400361061095,-0.27528589053846925,-21.18195163235521,9,55.55555555555556
P_0826.HK,-4.1115998888015515,-0.12973266066629774,-22.614156699113874,8,37.5
P_0830.HK,-10.480000762939454,-0.4732523260263969,-20.13247249808491,7,28.57142857142857
P_0839.HK,13.328804950714112,0.31991076472159535,-13.560896050241677,6,66.66666666666666
P_0853.HK,2.395206871032715,0.1065542330937384,-4.599595794677736,1,100.0
P_0856.HK,3.5443999862670896,0.0940314464061154,-12.043591557638521,4,75.0
P_0861.HK,-24.20560284614562,-0.48165632869276576,-29.982687509147933,9,44.44444444444444
P_0863.HK,16.088803424835206,0.8489127665420007,-0.35316686191875224,1,100.0
P_0866.HK,14.779555159807206,0.4211302551712362,-13.191224079781904,16,68.75
P_0880.HK,-18.01039944648739,-0.5684645283714947,-24.20462361481818,10,50.0
P_0882.HK,9.747603807449341,0.45324563681941293,-9.191734129857142,7,57.14285714285714
P_0887.HK,3.4078804802894593,0.7239748200476445,-0.8734737076692034,11,63.63636363636363
P_0902.HK,31.745608530044557,0.4145952900387939,-16.321118017062332,11,63.63636363636363
P_0909.HK,28.185195446014404,0.43477400492644264,-16.699598275876127,6,66.66666666666666
P_0931.HK,3.225399640798569,0.2883417270726439,-3.9279345928034393,8,50.0
P_0933.HK,-1.278799639940262,-0.19915352141348477,-3.7625146320228398,6,50.0
P_0934.HK,19.17360207557678,0.3492962562650252,-15.117448049729765,11,72.72727272727273
P_0956.HK,-3.1816032123565674,-0.09360577407115674,-18.904958729764555,5,40.0
P_0975.HK,38.94599026679993,1.0643862655873333,-8.8747845762137,4,75.0
P_0990.HK,4.07179928779602,0.520498307041908,-5.866601715087894,10,60.0
P_0991.HK,8.989999799728393,0.34136696630960967,-7.073375514306479,9,66.66666666666666
P_1020.HK,1.921520246565342,0.8439124275848437,-0.7886533190682443,2,100.0
