股票編號,股票名稱,行業編號,現價#,升跌,升跌(%),成交量,成交額,市盈率,市賬率,收益率,市值,股票編號_df4,流動比率,速動比率,資產回報率,股本回報率,毛利率,邊際利潤率,派息比率,債務股本比率,截至,股票編號_df6,收入,年度收入增長,經營溢利,經營利益率,股東應佔溢利,邊際利潤率_df6,每股盈利,每股盈利年度增長,截至_df6,sno,數字市值,type
00125.HK,新興光學,020303,0.380,0.000,0.000%,0.00,0.00,無盈利,0.16,0.00%,9.99千萬,00125.HK,2.55,2.07,-3.13%,-4.23%,10.67%,-4.04%,-27.80%,7.93%,2024/03,00125.HK,7.02億,N/A,-3.90千萬,-5.555%,-2.84千萬,-4.039%,-0.108,7.223%,2024/03,0125.HK,99900000.0,S
00126.HK,佳寧娜,100402,0.161,+0.003,+1.899%,8.00千,1.29千,無盈利,0.09,0.00%,2.53億,00126.HK,0.65,0.46,-4.08%,-8.03%,39.86%,-37.81%,N/A,59.14%,2024/03,00126.HK,6.62億,-3.000%,-1.99億,-30.090%,-2.50億,-37.810%,-0.159,-42.487%,2024/03,0126.HK,252999999.99999997,S
00128.HK,安寧控股,100301,0.295,-0.005,-1.667%,19.60萬,5.78萬,無盈利,0.48,0.00%,4.87億,00128.HK,16.93,16.61,-1.79%,-1.85%,56.92%,-16.34%,N/A,1.26%,2023/12,00128.HK,1.21億,28.000%,-1.86千萬,-15.360%,-1.97千萬,-16.342%,-0.012,86.857%,2023/12,0128.HK,487000000.0,S
00129.HK,泛海集團,090204,0.300,-0.005,-1.639%,2.44百萬,74.01萬,無盈利,0.04,0.00%,4.26億,00129.HK,1.49,0.60,-16.96%,-40.08%,91.19%,-333.78%,N/A,126.43%,2024/03,00129.HK,17.35億,-16.000%,-57.59億,-331.878%,-57.92億,-333.779%,-4.390,N/A,2024/03,0129.HK,426000000.0,S
00130.HK,慕詩國際,020601,0.149,-0.012,-7.453%,52.00萬,7.82萬,無盈利,0.14,0.00%,4.29千萬,00130.HK,0.76,0.50,-8.06%,-12.02%,80.46%,-35.03%,N/A,23.39%,2024/03,00130.HK,1.37億,7.000%,-2.93千萬,-21.328%,-4.81千萬,-35.030%,-0.170,-13.333%,2024/03,0130.HK,42900000.0,S
00131.HK,卓能（集團）,090204,1.380,0.000,0.000%,0.00,0.00,無盈利,0.16,3.08%,9.01億,00131.HK,2.01,0.49,1.80%,2.57%,56.79%,91.30%,24.04%,20.12%,2024/06,00131.HK,1.88億,316.000%,-1.35億,-71.536%,1.72億,91.298%,0.260,766.667%,2024/06,0131.HK,901000000.0,S
00132.HK,興業控股,010101,0.238,+0.001,+0.422%,10.30萬,2.47萬,6.70,0.38,4.20%,4.08億,00132.HK,1.15,1.15,0.28%,2.75%,38.48%,3.28%,N/A,542.35%,2023/12,00132.HK,8.21億,19.000%,-3.77千萬,-4.584%,2.69千萬,3.278%,0.016,N/A,2023/12,0132.HK,408000000.0,S
00137.HK,金輝集團,100506,0.670,0.000,0.000%,0.00,0.00,6.00,0.22,0.00%,3.55億,00137.HK,1.50,1.48,-6.82%,-17.02%,100.00%,-42.52%,N/A,64.93%,2023/12,00137.HK,7.00億,-48.000%,-4.07億,-63.682%,-2.72億,-42.521%,-0.512,-495.349%,2023/12,0137.HK,355000000.0,S
00138.HK,中建富通,100302,0.078,-0.001,-1.266%,8.40萬,6.44千,無盈利,0.19,0.00%,1.25億,00138.HK,0.95,0.90,-20.31%,-78.93%,20.52%,-75.42%,N/A,213.27%,2023/12,00138.HK,7.65億,-5.000%,-5.79億,-75.686%,-5.77億,-75.425%,-0.430,18.868%,2023/12,0138.HK,125000000.0,S
00139.HK,小魚盈通（新）,040202,0.430,+0.005,+1.176%,4.26百萬,1.81百萬,無盈利,0.51,0.00%,5.28億,00139.HK,3.08,3.07,-12.78%,-17.11%,80.83%,-147.36%,N/A,22.12%,2023/12,00139.HK,9.02千萬,-67.000%,-1.24億,-137.183%,-1.33億,-147.365%,-0.008,-19.403%,2023/12,0139.HK,528000000.0,S
00145.HK,信能低碳,100103,0.223,+0.012,+5.687%,35.20萬,7.36萬,無盈利,0.94,0.00%,5.44千萬,00145.HK,3.27,3.24,-21.70%,-29.51%,6.46%,-42.33%,N/A,25.01%,2023/12,00145.HK,2.97千萬,27.000%,-1.18千萬,-39.716%,-1.26千萬,-42.330%,-0.120,84.000%,2023/12,0145.HK,54400000.00000001,S
