Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price
2025-09-01,661.HK,0.0630000010132789,0.0659999996423721,0.0610000006854534,0.0649999976158142,0.0649999976158142,31794000,0.0,0.0,0.0634494754543065,0.0626332622710356,0.0597356823513624,0.0560854635580578,0.0547407698752536,True,True,LH,LHLLHH,0.0549999997019767,2025-09-23,0.135000005364418,2025-10-09,0.1379999965429306,0.0579999983310699,SB1-2025/09/01,False,False,False,False,False,True,0.7,7.0,3.0,3.0,1.0,0.1,0.1379999965429306,0.1759999930858612
2025-09-23,640.HK,1.2300000190734863,1.2400000095367432,1.2100000381469729,1.2100000381469729,1.2100000381469729,104000,0.0,0.0,1.2112823478408514,1.2011322582414603,1.1493538886823196,1.0693671056148792,0.9105901201616232,True,True,LH,LHLLHH,1.159999966621399,2025-09-29,1.25,2025-10-08,1.2699999809265137,1.190000057220459,SB1-2025/09/23,False,False,False,False,False,True,0.6,3.0,1.0,2.0,0.0,1.21,1.2699999809265137,1.3299999618530274
2025-10-10,568.HK,4.159999847412109,4.230000019073486,4.119999885559082,4.150000095367432,4.150000095367432,20578800,0.0,0.0,4.142912992914347,4.1512430010224,4.12342611012533,3.786967857578276,2.9008668760357263,False,False,LH,LHLLHH,3.9600000381469727,2025-10-13,5.03000020980835,2025-10-23,5.150000095367432,4.039999961853027,SB1-2025/10/10,False,False,False,False,False,True,0.62,5.0,1.0,1.0,3.0,4.56,5.150000095367432,5.740000190734864
2025-09-19,498.HK,0.1580000072717666,0.1580000072717666,0.1580000072717666,0.1580000072717666,0.1580000072717666,10000,0.0,0.0,0.1531076373541429,0.148812445052536,0.1315175272436414,0.1284917197840923,0.1965794566421422,False,True,LH,LHLLHH,0.1220000013709068,2025-10-02,0.1800000071525573,2025-10-23,0.1800000071525573,0.1230000033974647,SB1-2025/09/19,False,False,False,False,False,True,0.82,9.0,8.0,0.0,1.0,0.15,0.1800000071525573,0.2100000143051145
2025-08-26,432.HK,0.2010000050067901,0.2049999982118606,0.2000000029802322,0.2010000050067901,0.2010000050067901,162514,0.0,0.0,0.2022893341558365,0.2036574278065535,0.2034380383774906,0.2017361058965983,0.2046984176823651,False,False,LH,LHLLHH,0.1979999989271164,2025-09-01,0.2060000002384185,2025-09-22,0.209999993443489,0.2000000029802322,SB1-2025/08/26,False,False,False,False,False,True,0.73,11.0,7.0,2.0,2.0,0.2,0.209999993443489,0.2199999868869779
2025-08-25,355.HK,0.06700000166893,0.0710000023245811,0.0659999996423721,0.0710000023245811,0.0710000023245811,7687000,0.0,0.0,0.0676928222403879,0.0667975226833215,0.0657214865548942,0.0718905754769902,0.1078475802636211,False,True,LH,LHLLHH,0.0540000014007091,2025-08-29,0.1570000052452087,2025-09-17,0.1720000058412552,0.0570000000298023,SB1-2025/08/25,False,False,False,False,False,True,0.77,10.0,6.0,3.0,1.0,0.11,0.1720000058412552,0.2340000116825104
2025-08-25,197.HK,0.375,0.4199999868869781,0.375,0.4199999868869781,0.4199999868869781,436521,0.0,0.0,0.3842843726373808,0.3544287795048794,0.2954222071619591,0.25563418883452,0.3186705530940372,False,True,LH,LHLLHH,0.3000000119209289,2025-09-04,0.6200000047683716,2025-09-26,0.699999988079071,0.3100000023841858,SB1-2025/08/25,False,False,False,False,False,True,0.62,10.0,2.0,5.0,3.0,0.5,0.699999988079071,0.8999999761581421
2025-08-25,163.HK,0.1899999976158142,0.1899999976158142,0.1840000003576278,0.1870000064373016,0.1870000064373016,758666,0.0,0.0,0.1856107655404592,0.1898569189163782,0.1990947422656242,0.2093292339138466,0.2570748642193795,False,False,LH,LHLLHH,0.1749999970197677,2025-09-03,0.2049999982118606,2025-09-23,0.2140000015497207,0.1770000010728836,SB1-2025/08/25,False,False,False,False,False,True,0.71,10.0,5.0,4.0,1.0,0.19,0.2140000015497207,0.2380000030994414
2025-09-12,139.HK,0.3000000119209289,0.3199999928474426,0.3000000119209289,0.3199999928474426,0.3199999928474426,10101186,0.0,0.0,0.3201588429565891,0.336630496191064,0.3681375575715284,0.4024355503057727,0.4172870470932098,False,False,LH,LHLLHH,0.25,2025-09-24,0.4950000047683716,2025-10-17,0.5199999809265137,0.2599999904632568,SB1-2025/09/12,False,False,False,False,False,True,0.87,13.0,4.0,6.0,3.0,0.38,0.5199999809265137,0.6599999618530273
2025-09-29,95.HK,0.2549999952316284,0.2649999856948852,0.248999997973442,0.2549999952316284,0.2549999952316284,1338000,0.0,0.0,0.2597928375688659,0.2694837950594235,0.272449317369466,0.2806960287488153,0.3786084227000136,False,False,LH,LHLLHH,0.2300000041723251,2025-10-08,0.2800000011920929,2025-10-13,0.2849999964237213,0.2339999973773956,SB1-2025/09/29,False,False,False,False,False,True,1.0,3.0,2.0,0.0,1.0,0.26,0.2849999964237213,0.3099999928474426
2025-09-19,80.HK,0.4900000095367431,0.550000011920929,0.4850000143051147,0.5,0.5,40000000,0.0,0.0,0.4834926931107587,0.448521913739114,0.3728968822111229,0.2828836758315995,0.1936615996361769,True,True,LH,LHLLHH,0.3405219912528991,2025-10-03,0.6200000047683716,2025-10-09,0.6600000262260437,0.3993780016899109,SB1-2025/09/19,False,False,False,False,False,True,1.0,3.0,2.0,1.0,0.0,0.5,0.6600000262260437,0.8200000524520874
2025-08-25,78.HK,0.5400000214576721,0.550000011920929,0.5299999713897705,0.550000011920929,0.550000011920929,994497,0.0,0.0,0.5447477076196127,0.5546103141002398,0.6007685154152999,0.8086340289614005,1.4362061388624907,False,False,LH,LHLLHH,0.5,2025-08-28,0.699999988079071,2025-09-16,0.7300000190734863,0.5099999904632568,SB1-2025/08/25,False,False,False,False,False,True,0.62,8.0,6.0,2.0,0.0,0.62,0.7300000190734863,0.8400000381469727
2025-09-09,73.HK,1.899999976158142,2.0,1.899999976158142,2.0,2.0,12300,0.0,0.0,1.93309547831702,1.948243115381708,2.0826179538521643,2.544806732952586,5.332531220936126,False,False,LH,LHLLHH,1.6699999570846558,2025-10-08,2.150000095367432,2025-10-09,2.900000095367432,1.7899999618530271,SB1-2025/09/09,False,False,False,False,False,True,1.0,1.0,0.0,0.0,1.0,2.29,2.900000095367432,3.510000190734864
2025-09-19,42.HK,0.3000000119209289,0.3100000023841858,0.2899999916553497,0.2899999916553497,0.2899999916553497,966000,0.0,0.0,0.2960104396477358,0.2991094272068952,0.2930389503402958,0.2821716639188434,0.2711138652939613,False,False,LH,LHLLHH,0.2599999904632568,2025-09-26,0.3199999928474426,2025-10-03,0.3400000035762787,0.2750000059604645,SB1-2025/09/19,False,False,False,False,False,True,0.75,3.0,0.0,2.0,1.0,0.3,0.3400000035762787,0.3800000071525574
