Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,33DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,T1_100,EMA100,EMA250,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price,tp3_price,SNO
2025-10-22,FRBA,15.619999885559082,16.149999618530273,15.520000457763672,15.630000114440918,15.570608139038086,43500,0.0,0.0,15.5101427187872,15.723960552956791,15.870450190833598,False,False,LH,LHHLLH,15.31999969482422,2025-11-03,15.75,2025-11-18,15.8100004196167,14.890000343322754,14.890000343322754,TP1-2025/07/23,False,True,False,False,False,False,False,0.0,0,0,False,False,15.68776845487467,15.09711431254894,,,,,,,FRBA
2025-10-29,FRPT,53.11000061035156,53.54999923706055,52.040000915527344,52.619998931884766,52.619998931884766,1374700,0.0,0.0,53.617262702614966,53.225113166065135,55.37895182769868,False,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/10/01,True,False,False,False,False,False,False,0.0,0,0,False,False,62.691908472039046,81.9861981974219,,,,,,,FRPT
2025-11-04,FRPT,56.56999969482422,57.34999847412109,54.650001525878906,56.02999877929688,56.02999877929688,1879800,0.0,0.0,53.6106982778597,53.24436711243245,55.04776957080262,False,True,,,0.0,,0.0,,0.0,0.0,0.0,TP1-2025/10/01,False,True,False,False,False,False,False,0.0,0,0,False,False,61.952953547080085,81.07476255678,,,,,,,FRPT
2025-10-15,LANDP,19.38999938964844,19.440000534057617,19.31999969482422,19.420000076293945,19.29464530944824,16100,0.0,0.0,19.391365060120076,19.45119290072129,19.51568998088624,False,False,LH,LHLLHH,18.915000915527344,2025-10-17,19.709999084472656,2025-10-28,19.89999961853028,19.25,19.25,SB1-2025/10/15,False,False,False,False,False,False,True,0.86,6,2,True,True,19.62987947826523,19.947194669522847,3.0,1.0,19.41,19.89999961853028,20.389999237060557,20.87999885559083,LANDP
2025-11-06,LNTH,61.09999847412109,62.0,53.35499954223633,53.68999862670898,53.68999862670898,2686400,0.0,0.0,56.2752952440127,55.83711603384291,56.66752447639897,False,True,HH,HHHLLH,50.15499877929688,2025-11-10,53.369998931884766,2025-11-18,53.54499816894531,50.72499847412109,49.66999816894531,TP2-2025/09/24,True,True,True,False,False,False,False,0.0,0,0,False,False,62.233227898246206,73.45844081361743,,,,,,,LNTH
2025-10-30,MBUU,32.97999954223633,34.1150016784668,28.1200008392334,28.229999542236328,28.229999542236328,317700,0.0,0.0,31.83261900718192,31.85187391979992,32.325953925729884,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2025/09/26,True,False,False,False,True,False,False,0.0,0,0,False,False,32.71143394181056,34.27597445331855,,,,,,,MBUU
2025-10-29,MCFT,22.350000381469727,22.3799991607666,21.020000457763672,21.309999465942383,21.309999465942383,122400,0.0,0.0,21.784529462788303,21.552555543252748,21.286267208711745,True,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/10/03,True,False,False,False,False,False,False,0.0,0,0,False,False,20.59671001292166,19.81739583704116,,,,,,,MCFT
2025-11-10,MCFT,20.3700008392334,20.8799991607666,19.27499961853028,19.38999938964844,19.38999938964844,137100,0.0,0.0,20.45922631622562,20.83986736453901,20.986538059511027,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2025/10/03,False,False,False,False,True,False,False,0.0,0,0,False,False,20.53776462024312,19.841210212280405,,,,,,,MCFT
2025-11-05,NGNE,31.31999969482422,31.3799991607666,26.63999938964844,27.71999931335449,27.71999931335449,416400,0.0,0.0,30.985496693347702,29.55539535701461,26.18411357759032,True,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/09/11,True,False,False,False,False,False,False,0.0,0,0,False,False,23.50066583633819,23.228355412828368,,,,,,,NGNE
2025-10-16,NRIX,10.4399995803833,10.859999656677246,10.029999732971191,10.029999732971191,10.029999732971191,968200,0.0,0.0,9.802683160012773,9.581788649359648,9.752035437898682,False,True,,,0.0,,0.0,,0.0,0.0,0.0,TP1-2025/09/08,False,True,False,False,False,False,False,0.0,0,0,False,False,10.56193772008661,12.896625211985786,,,,,,,NRIX
2025-10-28,NRIX,11.720000267028809,12.449999809265137,11.720000267028809,11.899999618530272,11.899999618530272,2127600,0.0,0.0,10.86633675474526,10.299455920646894,10.0642563811734,False,True,,,0.0,,0.0,,0.0,0.0,0.0,TP2-2025/09/08,False,False,True,False,False,False,False,0.0,0,0,False,False,10.606238271353178,12.769331365833004,,,,,,,NRIX
2025-10-15,NUAI,3.690000057220459,4.300000190734863,3.2300000190734863,3.3499999046325684,3.3499999046325684,35064200,0.0,0.0,2.4237343868238237,1.8561075060250165,1.2825839548338218,False,True,,,0.0,,0.0,,0.0,0.0,0.0,TP2-2025/08/13,False,False,True,False,False,False,False,0.0,0,0,False,False,1.201530577545236,2.9367199338550622,,,,,,,NUAI
2025-10-21,SNT,4.380000114440918,5.050000190734863,4.329999923706055,5.03000020980835,5.03000020980835,131500,0.0,0.0,4.610176911846342,4.606758584329594,4.536356196505778,True,True,,,0.0,,0.0,,0.0,0.0,0.0,TP1-2025/09/11,False,True,False,False,False,False,False,0.0,0,0,False,False,4.3507056666611765,3.705957120873468,,,,,,,SNT
2025-10-13,STAA,26.8700008392334,27.32999992370605,26.690000534057617,27.25,27.25,870500,0.0,0.0,26.83915857965004,26.88269171330752,25.857930087434653,False,False,LH,LHLLHH,23.850000381469727,2025-10-16,27.780000686645508,2025-10-27,27.950000762939453,25.040000915527344,25.040000915527344,SB1-2025/10/13,False,False,False,False,False,False,True,0.71,5,4,True,False,24.0117400486612,24.84578487910077,1.0,0.0,25.9,27.950000762939453,30.000001525878908,32.05000228881836,STAA
2025-10-31,STAA,26.520000457763672,26.520000457763672,25.459999084472656,25.8700008392334,25.8700008392334,770700,0.0,0.0,26.417215482736683,26.45434659478024,26.01298674048339,False,False,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/10/13,True,False,False,False,False,False,False,0.0,0,0,False,False,24.54388780045223,24.98642740449047,,,,,,,STAA
2025-11-06,STHO,7.389999866485596,7.545000076293945,7.010000228881836,7.010000228881836,7.010000228881836,61800,0.0,0.0,7.385306163942198,7.590563952967853,7.821149331464351,False,False,LL,LLLHHL,7.75,2025-11-16,7.710000038146973,2025-11-18,7.449999809265137,7.010000228881836,7.010000228881836,CL1-2025/07/23,False,False,False,False,True,False,False,0.0,0,0,False,False,7.907344388037371,8.69340191418483,,,,,,,STHO
2025-10-13,TACO,10.649999618530272,10.649999618530272,10.5,10.550000190734863,10.550000190734863,245600,0.0,0.0,10.440958565644303,10.396648939541096,10.37131502003326,False,True,HH,HHHLLH,10.420000076293944,2025-10-20,10.18000030517578,2025-11-15,10.199999809265137,10.300000190734863,10.220000267028809,TP2-2025/08/29,False,False,True,False,False,False,False,0.0,0,0,False,False,,,,,,,,,TACO
