code,Stock Code,Name of Securities
00406,406,YAU LEE HOLD
00408,408,YIP'S CHEMICAL
00410,410,SOHO CHINA
00411,411,LAM SOON (HK)
00412,412,SDHG
00413,413,SC HOLDINGS
00417,417,TSE SUI LUEN
00418,418,FOUNDER HOLD
00419,419,HONY MEDIA
00420,420,FOUNTAIN SET
00422,422,VMEP HOLDINGS
00423,423,HKET HOLDINGS
00425,425,MINTH GROUP
00426,426,ONE MEDIA GROUP
00428,428,COCOON HOLDINGS
00430,430,ORIENTAL EXPL
00431,431,G CHINA FIN
00432,432,PCPD
00433,433,NORTH MINING
00434,434,BOYAA
00436,436,NU ENVIRO
00438,438,IRICO NEWENERGY
00439,439,GENESIS SCALE
00440,440,DAH SING
00442,442,DOMAINE POWER
00444,444,SINCEREWATCH HK
00450,450,HUNG HING PRINT
00451,451,GCL NEWENERGY
00455,455,TIANDA PHARMA
00456,456,NEW CITY DEV
00458,458,TRISTATE HOLD
00460,460,SIHUAN PHARM
00464,464,CHINA IN-TECH
00465,465,FUTONG TECH
00467,467,UNITEDENERGY GP
00468,468,GAPACK
00470,470,WUXI LEAD
00471,471,SILKWAVE INC
00472,472,NEW SILKROAD
00474,474,ACESO LIFE SCI
00475,475,CENTRAL DEV H
00476,476,EV DYNAMICS
00480,480,HKR INT'L
00482,482,SANDMARTIN INTL
00483,483,BAUHAUS INT'L
00484,484,FORGAME
00485,485,CHINASINOSTAR
00486,486,RUSAL
00487,487,SUCCESSUNIVERSE
00488,488,LAI SUN DEV
00491,491,EMPEROR CULTURE
00493,493,GOME RETAIL
00495,495,PALADIN
00496,496,KASEN
00497,497,CSI PROPERTIES
00498,498,BLUE RIVER HLDG
00499,499,QINGDAO HLDGS
00500,500,FRONTIER SER
00501,501,OMNIVISION
00505,505,XINGYE ALLOY
00506,506,CHINA FOODS
00508,508,DINGYI GP INV
00509,509,SUNSHINE
00510,510,CASH FIN SER GP
00511,511,TVB
00512,512,GRAND PHARMA
00513,513,CONTINENTAL H
00515,515,CHINASILVER TEC
00517,517,COSCO SHIP INTL
00518,518,TUNGTEX (HOLD)
00519,519,NOVAUTEK
00520,520,XIABUXIABU
00521,521,CWT INT'L
00522,522,ASMPT
00524,524,GW TERROIR
00525,525,GUANGSHEN RAIL
00526,526,LISI GP HOLD
00527,527,RUIFENG RENEW
00528,528,KINGDOM HOLDING
00529,529,SIS INT'L
00532,532,WKK INTL (HOLD)
00533,533,GOLDLION HOLD
00535,535,GEMDALE PPT
00536,536,TRADELINK
00538,538,AJISEN (CHINA)
00540,540,SPEEDY GLOBAL
00542,542,CN CULTURAL T&A
00543,543,PACIFIC ONLINE
00544,544,DAIDO GROUP
00546,546,FUFENG GROUP
00547,547,DIGITAL DOMAIN
00548,548,SHENZHENEXPRESS
00550,550,ALLEGRO CULTURE
00551,551,YUE YUEN IND
00552,552,CHINACOMSERVICE
00553,553,NANJING PANDA
00554,554,HANS GP HLDGS
00556,556,PAN ASIA ENVIRO
00557,557,TIANYUAN HEALTH
00558,558,LK TECH
00559,559,DETAI NEWENERGY
00560,560,CHU KONG SHIP
00563,563,SH IND URBAN
00564,564,ZCZL
00565,565,ART GROUP HOLD
00567,567,DAISHOMICROLINE
00568,568,SHANDONG MOLONG
00570,570,TRAD CHI MED
00571,571,ESUN HOLDINGS
00572,572,FW HOLDINGS
00573,573,TAO HEUNG HLDGS
00574,574,PASHUN INT'L
00575,575,REGENT PACIFIC
00576,576,ZHEJIANGEXPRESS
00579,579,JNCEC
00580,580,SUN.KING TECH
00581,581,CHINA ORIENTAL
00582,582,SHIN HWA WORLD
00583,583,GWPA HOLDINGS
00585,585,IMAGI INT'L
00586,586,CONCH VENTURE
00587,587,CONCH ENVIRO
00588,588,BEIJING N STAR
00590,590,LUK FOOK HOLD
00591,591,C HIGHPRECISION
00595,595,AV CONCEPT HOLD
00596,596,INSPUR DIGI ENT
00598,598,SINOTRANS
00599,599,E. BON HOLDINGS
00600,600,AXERA
00601,601,REMT
00602,602,JIAHUA STORES H
00603,603,CHINA OIL & GAS
00604,604,SHENZHEN INVEST
00605,605,C FIN SERVICES
00606,606,SCE CM
00607,607,FULLSHARE
00608,608,HIGH FASHION
00609,609,TIANDE CHEMICAL
00610,610,WAI KEE HOLD
00611,611,CNE TECH CORP
00612,612,CARMEN CENTURY
00613,613,PLANETREE INT'L
00616,616,ASSET CHAIN
00617,617,PALIBURG HOLD
00618,618,PKU RESOURCES
00619,619,SOUTH CHINA FIN
00620,620,DTXS SILK ROAD
00621,621,TAUNG GOLD
00622,622,OSHIDORI
00623,623,SINOMEDIA
00626,626,PUBLIC FIN HOLD
00627,627,VISION SYNERGY
00628,628,TONGTONG AI SOC
00629,629,YUE DA INTL
00630,630,AMCO UNITED
00631,631,SANY INT'L
00632,632,CHK OIL
00635,635,PLAYMATES
00636,636,KLN
00637,637,LEE KEE
00638,638,FIBOCOM
00639,639,SHOUGANG RES
00640,640,INFINITY DEV
00641,641,CHTC FONG'S INT
00643,643,CARRY WEALTH
00645,645,ARES ASIA
00646,646,CHINA ENV TEC
00648,648,SOFTMEDX
00650,650,PRODUCTIVE TECH
00653,653,BONJOUR HOLD
00655,655,HK CHINESE LTD
00656,656,FOSUN INTL
00657,657,G-VISION INT'L
00658,658,C TRANSMISSION
00659,659,CTF SERVICES
00660,660,WAI CHUN BIOTEC
00661,661,CDAYENONFER
00662,662,ASIA FINANCIAL
00664,664,TONGSHIFU
00666,666,REPT BATTERO
00667,667,CHINA EAST EDU
00669,669,TECHTRONIC IND
00670,670,CHINA EAST AIR
00672,672,ZHONGAN GROUP
00673,673,CHINA HEALTH
00674,674,CHINA TANGSHANG
00675,675,K & P INT'L
00676,676,PEGASUS INT'L
00677,677,GOLDEN RES DEV
00679,679,ASIA TELE-NET
00681,681,CHI PEOPLE HOLD
00682,682,CHAODA MODERN
00683,683,KERRY PPT
00684,684,ALLAN INT'L
00685,685,MEDIA CHINESE
00686,686,BJ ENERGY INTL
00687,687,TYSAN HOLDINGS
00688,688,CHINA OVERSEAS
00689,689,EPI (HOLDINGS)
00690,690,UNI-BIO GROUP
00691,691,SHANSHUI CEMENT
00693,693,TAN CHONG INT'L
00694,694,BEIJING AIRPORT
00695,695,DONGWU CEMENT
00696,696,TRAVELSKY TECH
00697,697,SHOUCHENG
00698,698,TONGDA GROUP
00699,699,JOYSON ELEC
00700,700,TENCENT
00701,701,CNT GROUP
00702,702,SINO OIL & GAS
00703,703,FUTURE BRIGHT
00704,704,HUSCOKE HLDGS
00707,707,ATV HOLDINGS
00708,708,EVERG VEHICLE
00709,709,GIORDANO INT'L
00710,710,BOE VARITRONIX
00711,711,ASIA ALLIED INF
00712,712,COMTEC SOLAR
00713,713,WORLD HOUSEWARE
00716,716,SINGAMAS CONT
00717,717,EMPEROR CAPITAL
00718,718,TAI UNITED HOLD
00719,719,SHANDONG XINHUA
00720,720,AUTO ITALIA
00721,721,C FIN INT INV
00722,722,UMP
00723,723,RELIANCE GLO HL
00724,724,RUIXIN INT'L
00725,725,PERENNIAL INT'L
00726,726,DIT GROUP
00727,727,CROWNICORP
00728,728,CHINA TELECOM
00730,730,CAPITAL IND FIN
00731,731,C&D NEWIN
00732,732,TRULY INT'L
00733,733,HOPEFLUENT
00736,736,CHINA PPT INV
00737,737,BAY AREA DEV
00738,738,LE SAUNDA
00743,743,ASIA CEMENT CH
00745,745,CN CULTURE GP
00746,746,L & M CHEMICAL
00747,747,SHENYANG PUBLIC
00750,750,SFSY ENERGY
00751,751,SKYWORTH GROUP
00752,752,PICO FAR EAST
00753,753,AIR CHINA
00754,754,HOPSON DEV HOLD
00755,755,DEVGREAT
00756,756,SUMMI
00757,757,SOLARGIGA
00759,759,CEC INT'L HOLD
00760,760,TALENT PPT GP
00762,762,CHINA UNICOM
00763,763,ZTE
00764,764,ETERNITY INV
00765,765,PERFECTECH INTL
00767,767,ZHONG JI LS
00768,768,UBA INVESTMENTS
